Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
28,-0.52,-0.74,0.54,40.83,-42.48,37.90,,,
663,-0.03,-0.28,0.97,-3.66,106.93,192.32,,,
1257,-0.21,-0.48,0.66,4.21,43.46,-38.39,,,
1850,-0.35,-0.53,0.73,48.65,25.39,-69.27,,,
2442,-0.42,-0.68,0.72,-15.99,-8.42,-1.59,,,
3035,-0.57,-0.72,0.77,-23.44,140.01,-91.00,,,
3628,-0.63,-0.93,0.21,-3.48,-36.50,38.82,,,
4221,-0.56,-0.64,0.70,10.31,-31.49,3.54,,,
4814,-0.24,-0.59,0.84,9.22,-30.03,12.88,,,
5407,-0.56,-0.43,0.75,-3.54,-33.87,-51.27,,,
6009,-0.24,-0.46,0.82,-76.84,-181.58,118.47,,,
6602,0.20,-0.57,0.78,-38.15,0.06,62.26,,,
7194,-0.27,-0.64,0.70,-59.51,-11.11,-6.77,,,
7832,-0.10,-0.64,0.82,-15.44,-31.31,19.96,,,
8425,-0.08,-1.03,0.70,85.82,206.24,43.64,,,
9018,-0.24,-0.77,0.59,13.55,-6.41,1.34,,,
9611,-0.31,-0.58,0.83,40.10,28.93,-20.14,,,
10203,-0.08,-0.58,0.83,-43.58,-66.41,75.56,,,
10797,-0.12,-0.49,0.98,6.84,-44.01,9.03,,,
11390,-0.28,-0.35,0.90,-1.10,8.48,5.31,,,
11983,-0.20,-0.40,0.96,0.43,-18.86,0.55,,,
12576,-0.11,-0.39,0.93,-10.80,6.16,0.18,,,
13179,-0.08,-0.44,0.90,-1.59,19.04,18.74,,,
13772,-0.01,-0.49,0.92,-8.36,14.53,21.91,,,
14419,-0.09,-0.64,0.80,-131.29,25.15,-29.11,,,
15013,-0.10,-0.86,0.49,-15.69,-2.32,-7.81,,,
15607,-0.06,-0.85,0.45,-4.58,-40.47,-6.23,,,
16201,-0.14,-0.79,0.55,25.21,76.97,-8.97,,,
16794,-0.21,-0.50,0.91,-11.60,15.69,10.86,,,
17387,-0.16,-0.53,0.90,-5.19,-21.48,-2.44,,,
17980,-0.12,-0.57,0.94,7.75,4.39,3.72,,,
18573,-0.19,-0.50,0.79,22.46,-20.63,-11.84,,,
19167,-0.09,-0.60,0.85,-0.73,6.47,13.61,,,
19769,-0.16,-0.72,0.74,-56.09,-23.25,-19.17,,,
20363,-0.10,-0.95,0.39,5.74,2.20,0.24,,,
20955,-0.15,-0.98,0.33,-3.05,-2.75,-1.77,,,
21591,-0.21,-0.76,0.48,36.74,12.33,21.30,,,
22185,-0.23,-0.49,0.80,2.14,-24.17,-0.67,,,
