Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
28,-0.02,-0.64,0.85,-18.68,-47.36,42.24,,,
620,0.18,-0.76,0.59,91.00,45.17,-46.51,,,
1213,0.02,-0.54,0.98,65.61,-79.10,-78.43,,,
1806,-0.06,-0.26,0.88,25.27,-2.14,17.33,,,
2398,0.06,-0.36,0.96,-5.68,-7.87,7.51,,,
2989,0.05,-0.40,0.95,0.49,-10.38,2.26,,,
3581,0.06,-0.46,0.99,39.61,-23.25,3.23,,,
4214,0.03,-0.40,0.95,-7.39,-0.24,-0.24,,,
4807,0.09,-0.44,0.92,-11.35,2.69,4.03,,,
5398,0.08,-0.45,0.90,-8.61,-2.62,-2.32,,,
5991,0.07,-0.43,0.93,3.78,15.50,1.16,,,
6591,0.05,-0.45,0.97,-2.38,0.37,0.24,,,
7183,0.01,-0.73,0.99,-91.86,-8.18,-13.92,,,
7776,-0.05,-0.64,0.77,7.93,40.89,-12.33,,,
8368,-0.04,-0.68,0.84,30.88,-12.02,-20.75,,,
8962,0.15,-0.59,0.90,11.41,-55.79,67.38,,,
9554,0.03,-0.51,0.85,-7.51,-0.06,-11.41,,,
10146,0.14,-0.51,1.02,8.00,-3.11,8.00,,,
10737,0.12,-0.41,0.92,23.38,-13.12,-12.63,,,
11373,0.11,-0.47,0.89,0.43,-5.13,5.86,,,
11966,0.08,-0.48,0.87,-14.59,11.72,-27.04,,,
12558,0.09,-0.45,0.84,-40.16,6.65,-0.73,,,
13160,0.01,-0.76,0.75,-9.83,16.66,-22.83,,,
13752,0.06,-0.71,0.71,-1.22,1.34,-5.00,,,
14344,0.00,-0.70,0.76,27.47,59.51,-23.38,,,
14937,0.04,-0.46,0.97,28.44,71.72,-113.59,,,
15530,0.00,-0.64,0.84,18.55,-42.85,5.98,,,
16123,-0.04,-0.54,0.88,-4.58,8.61,-7.93,,,
16715,0.26,-0.73,0.88,36.93,-69.89,32.35,,,
17308,0.18,-0.62,0.85,-28.87,16.54,-10.01,,,
17901,0.09,-0.73,0.81,48.40,77.88,-72.33,,,
18536,-0.01,-0.74,0.83,-8.42,35.77,-5.86,,,
19129,0.14,-0.65,0.90,8.36,-42.36,-1.65,,,
19730,0.09,-0.55,0.53,-40.89,60.06,-56.76,,,
20324,0.12,-0.55,0.76,46.45,-0.12,102.54,,,
20916,0.03,-0.71,0.70,-38.27,21.73,-87.10,,,
21509,0.04,-0.48,0.79,-59.81,-0.55,14.71,,,
22102,0.24,-0.76,0.78,78.43,-14.34,-39.18,,,
22695,0.10,-0.52,0.73,-21.30,17.46,-30.58,,,
23289,0.15,-0.67,0.69,-121.03,-28.14,59.88,,,
23881,0.06,-0.88,0.85,68.91,-26.67,9.28,,,
24474,0.07,-0.77,0.63,39.67,48.40,-38.27,,,
25067,0.07,-0.62,0.83,8.12,-62.01,60.18,,,
25659,0.05,-0.77,0.69,-18.25,29.17,-50.48,,,
26304,0.22,-0.54,0.73,-53.47,14.34,36.01,,,
26897,0.19,-0.58,0.95,64.27,30.82,-11.29,,,
27490,0.17,-0.78,0.74,-0.79,18.25,-31.13,,,
28083,0.08,-0.54,0.82,56.95,-18.43,74.40,,,
28675,0.17,-0.56,0.80,-21.18,42.48,-87.28,,,
29268,0.04,-0.51,0.76,-130.86,25.21,-31.49,,,
29860,0.16,-0.59,1.12,58.29,25.82,-26.73,,,
30454,0.11,-0.53,0.71,-35.77,30.58,-45.47,,,
31046,0.16,-0.43,0.92,-156.19,13.43,13.98,,,
31640,-0.05,-0.48,0.91,-231.57,29.48,54.75,,,
32233,-0.10,-0.63,0.67,-8.00,-48.40,43.09,,,
32876,0.36,-0.79,0.88,88.44,11.66,-53.47,,,
33470,0.06,-0.80,0.61,0.18,17.70,-86.67,,,
34062,0.10,-0.72,1.13,87.04,14.89,10.56,,,
34655,0.30,-0.62,0.81,44.62,-94.36,75.50,,,
35247,0.10,-0.92,0.44,-58.17,55.97,-63.29,,,
35840,0.09,-0.79,1.15,127.32,52.86,23.07,,,
36432,0.17,-0.71,0.61,43.15,-26.37,123.66,,,
37025,0.16,-1.14,0.49,169.49,-82.82,53.04,,,
37618,0.03,-0.74,0.57,-82.58,-13.98,-25.09,,,
38211,0.13,-0.78,0.66,-13.73,94.12,-75.20,,,
38805,0.16,-0.55,0.76,-131.16,-7.51,44.19,,,
39406,0.05,-0.89,0.60,3.85,-22.40,-32.29,,,
39998,0.05,-0.91,0.48,-12.45,43.27,1.28,,,
40634,-0.02,-0.89,0.32,-12.76,-3.85,5.00,,,
41226,-0.04,-0.79,0.39,-63.90,14.10,58.53,,,
41820,-0.15,-0.98,0.40,-3.23,20.63,-49.62,,,
42412,0.35,-0.83,0.91,70.13,-28.20,-24.78,,,
43005,0.33,-0.73,0.55,-45.17,11.47,44.92,,,
43598,0.11,-0.96,0.26,-1.77,-5.43,-3.78,,,
44190,0.15,-0.94,0.32,8.18,-24.17,-3.78,,,
44783,0.18,-0.93,0.38,-0.55,-1.28,1.10,,,
45375,0.20,-0.88,0.51,42.11,15.44,-18.25,,,
45969,0.12,-0.81,0.68,2.32,-7.51,8.73,,,
46569,0.14,-0.54,0.80,40.65,-50.66,17.76,,,
47162,0.06,-0.64,0.80,1.04,6.65,8.61,,,
47797,0.10,-0.68,0.64,-9.89,-0.06,1.89,,,
48388,0.09,-0.78,0.69,-1.65,1.34,0.18,,,
48981,-0.02,-0.88,0.52,-27.53,18.98,-15.32,,,
49574,-0.07,-0.87,0.51,0.49,34.67,-18.55,,,
50167,0.13,-0.81,0.60,-0.49,-2.50,-3.72,,,
50759,0.06,-0.83,0.59,-22.28,-55.85,50.11,,,
51352,0.14,-0.90,0.47,-18.62,-82.70,-14.89,,,
51946,0.29,-0.92,-0.01,-14.10,27.16,15.81,,,
52538,0.12,-1.00,0.09,16.97,0.79,3.54,,,
53140,0.16,-0.98,0.11,2.93,0.73,0.61,,,
53731,0.15,-0.95,0.20,0.12,-2.81,2.44,,,
54323,0.15,-0.95,0.12,-10.93,-52.49,8.67,,,
54958,0.16,-0.98,0.10,-0.55,-0.06,4.46,,,
55551,0.15,-0.99,0.11,-5.00,-12.02,0.73,,,
56144,-0.01,-1.05,0.02,15.14,-9.46,2.14,,,
56736,-0.05,-1.00,0.11,1.22,-1.40,4.03,,,
57329,-0.08,-1.00,0.13,-0.73,-0.06,0.24,,,
57921,0.15,-0.96,-0.13,20.32,75.87,-6.04,,,
58513,0.18,-1.01,-0.05,11.41,17.70,-0.18,,,
59106,0.15,-0.99,0.01,-2.93,2.38,0.73,,,
59707,0.16,-1.00,-0.00,-0.79,0.79,-0.31,,,
60300,0.16,-1.00,0.00,-1.28,-1.59,0.98,,,
60892,0.14,-0.99,-0.01,-5.74,14.59,-1.95,,,
61485,0.24,-0.97,0.12,2.62,-0.92,-1.22,,,
62119,0.26,-0.96,0.14,-1.65,-0.18,2.26,,,
62711,0.22,-1.01,0.15,0.49,2.20,0.73,,,
63304,0.21,-0.95,0.05,-0.18,-8.36,4.70,,,
63896,0.25,-0.62,0.78,55.05,-16.97,37.84,,,
64489,-0.13,-0.48,0.89,-0.61,61.77,-9.28,,,
65082,-0.16,-0.61,0.73,-9.89,-14.89,-12.27,,,
65674,-0.30,-0.67,0.85,-6.84,45.41,3.30,,,
66267,-0.23,-0.47,0.83,-16.78,11.72,-13.98,,,
66868,-0.40,-0.50,0.84,-8.24,40.04,1.71,,,
67461,-0.35,-0.59,0.96,-19.65,31.19,24.05,,,
68054,-0.54,-0.55,0.77,80.99,4.46,4.21,,,
68647,-0.14,-0.56,0.84,50.96,-34.79,29.72,,,
69240,-0.28,-0.33,0.91,22.40,9.46,13.61,,,
69875,-0.15,-0.41,1.00,-12.82,-25.82,-15.99,,,
70469,0.19,-0.58,0.75,-55.79,13.98,-0.85,,,
71062,0.16,-0.89,0.61,-34.73,30.88,-18.07,,,
71655,0.43,-0.81,0.49,-29.05,-17.27,-1.16,,,
72248,0.37,-0.75,0.70,-12.57,20.94,-13.49,,,
72842,0.23,-0.68,0.81,10.38,11.47,-5.37,,,
73443,0.15,-0.64,0.81,-46.94,1.71,8.73,,,
74036,0.15,-0.73,0.59,30.40,-5.00,-5.49,,,
74629,-0.13,-0.80,0.65,-8.54,-36.68,12.45,,,
75222,0.29,-0.86,0.66,-8.73,-81.79,-28.02,,,
75816,0.06,-0.93,0.26,-53.83,-39.55,33.69,,,
76409,0.10,-1.05,0.02,-19.29,24.60,8.61,,,
77044,-0.09,-1.00,-0.15,-29.54,1.59,15.87,,,
77637,0.08,-1.07,-0.12,-50.60,-8.79,-0.79,,,
78230,-0.29,-0.76,-0.27,56.40,-103.45,-33.87,,,
78824,-0.11,-1.02,-0.27,-34.91,-43.40,45.65,,,
79417,-0.04,-0.94,0.13,-48.71,-2.14,-12.33,,,
80019,0.09,-0.99,-0.12,-3.48,-52.61,-11.47,,,
80612,0.23,-1.05,-0.02,5.80,48.95,-24.11,,,
81205,0.17,-1.01,0.00,-7.75,54.99,21.97,,,
81798,0.06,-0.99,0.03,10.07,-13.43,-1.22,,,
82390,0.09,-1.01,0.04,-21.91,22.83,-1.89,,,
82984,0.18,-0.99,-0.13,-3.11,1.34,0.06,,,
83576,0.21,-1.00,-0.05,-5.00,71.84,-3.91,,,
84211,0.28,-0.95,0.17,-16.05,6.23,-11.78,,,
84804,0.30,-0.94,0.17,8.91,38.33,-12.82,,,
85397,0.35,-0.93,0.27,-1.16,1.40,0.85,,,
85989,0.33,-0.92,0.29,0.98,0.61,3.23,,,
86591,0.28,-0.95,0.23,-8.73,-38.02,20.51,,,
87183,0.13,-1.05,0.07,-0.67,-32.35,-4.39,,,
87776,0.19,-0.99,-0.03,-3.30,8.79,-6.53,,,
88369,0.15,-0.99,0.01,0.37,0.31,2.01,,,
88961,0.15,-0.99,0.03,5.00,-1.28,-0.12,,,
89554,0.25,-0.96,0.05,-2.93,-8.36,0.12,,,
90146,0.20,-0.98,0.30,62.44,14.34,-1.10,,,
90739,0.18,-0.60,0.68,10.68,24.66,-11.41,,,
91373,-0.01,-0.38,0.79,19.78,4.82,-55.48,,,
91966,0.03,-0.51,0.81,-67.08,-20.57,-14.95,,,
92560,0.03,-0.47,0.93,-29.11,24.11,-28.32,,,
93161,0.02,-0.51,0.83,41.08,-25.33,51.45,,,
93755,1.62,-0.33,0.97,139.04,-128.23,-159.61,,,
94348,0.32,-0.92,0.68,-30.46,27.16,-82.34,,,
94940,0.24,-0.93,0.55,-13.49,85.94,-40.34,,,
95534,-0.07,-0.90,-0.18,-8.85,62.68,-3.72,,,
96127,0.00,-0.92,-0.17,31.07,44.56,5.62,,,
96720,-0.05,-0.96,-0.15,-29.66,-2.08,12.45,,,
97313,0.06,-1.00,-0.19,-10.68,-17.09,25.45,,,
97906,-0.12,-0.92,-0.00,-11.78,-9.52,-1.22,,,
98499,-0.07,-0.99,-0.05,-26.98,6.41,-4.09,,,
99135,0.07,-1.01,-0.10,10.07,-14.53,-1.22,,,
99737,0.01,-0.99,-0.07,-0.67,6.41,1.95,,,
100329,0.05,-1.02,-0.07,3.54,-5.62,1.71,,,
100922,0.06,-0.99,-0.05,-0.49,8.67,-2.50,,,
101514,0.21,-0.96,0.11,-4.70,5.80,-8.61,,,
102107,0.27,-0.83,0.46,20.94,-34.91,13.37,,,
102700,0.22,-0.94,0.34,-2.01,0.18,-2.08,,,
103292,0.15,-0.86,0.31,41.75,12.08,-8.91,,,
103886,0.16,-0.88,0.54,-5.80,13.18,-2.93,,,
104478,0.10,-0.87,0.53,1.22,0.12,0.92,,,
105071,0.10,-0.89,0.50,-3.48,-4.03,1.89,,,
105663,0.12,-0.90,0.51,-0.06,0.12,-0.18,,,
106297,0.16,-0.78,0.48,37.84,-34.36,8.06,,,
106883,0.22,-0.59,0.79,44.31,-31.01,18.74,,,
107476,0.34,-0.51,0.80,12.63,-6.53,10.74,,,
108069,0.28,-0.49,0.78,19.53,14.40,17.15,,,
108662,0.15,-0.55,0.81,-7.75,10.44,-4.27,,,
109255,0.11,-0.41,0.95,-45.53,18.43,47.18,,,
109848,-0.00,-0.54,0.85,2.38,1.46,-5.19,,,
110440,-0.06,-0.53,0.91,-13.24,9.46,-14.40,,,
111034,-0.10,-0.57,0.89,4.88,5.43,-3.78,,,
111626,-0.10,-0.49,0.88,-3.91,-0.31,3.42,,,
112220,-0.10,-0.52,0.89,0.55,-7.75,-8.36,,,
112812,0.07,-0.60,0.75,4.70,5.62,10.01,,,
113456,0.19,-0.70,0.77,-14.16,-37.29,46.75,,,
114050,0.29,-0.76,0.60,-17.82,21.36,-12.39,,,
114643,0.15,-0.90,0.41,-7.87,31.25,-16.42,,,
115236,0.22,-0.87,0.41,4.64,-0.61,-3.72,,,
115829,0.27,-0.90,0.40,-3.66,-0.43,0.18,,,
116421,0.23,-0.91,0.29,-0.79,-7.08,1.34,,,
117014,0.10,-1.01,0.23,0.37,18.25,8.85,,,
117606,0.18,-0.99,0.20,9.70,-30.40,11.35,,,
118199,0.09,-0.99,0.14,1.89,3.42,2.44,,,
118791,0.06,-0.99,0.19,-0.49,0.06,2.87,,,
119384,0.04,-0.99,0.18,2.38,0.98,4.09,,,
119985,0.08,-1.01,0.17,-6.90,-15.14,-5.98,,,
120620,0.14,-1.02,0.09,-15.08,-68.97,-11.41,,,
121214,0.15,-0.98,0.09,-7.63,2.81,1.59,,,
121806,0.16,-0.99,0.11,0.24,0.98,-3.48,,,
122399,0.17,-1.00,0.16,-5.43,-6.77,6.10,,,
122991,0.09,-0.87,-0.08,-42.05,-12.63,28.08,,,
123585,0.05,-0.85,-0.06,118.65,0.49,-80.99,,,
124178,0.14,-1.03,0.37,-32.17,38.57,43.70,,,
124771,0.03,-1.08,0.16,-13.00,25.33,12.27,,,
125364,0.00,-0.97,0.15,-12.15,2.99,-1.65,,,
125956,-0.01,-1.00,0.16,2.08,-1.22,0.37,,,
126558,-0.01,-1.00,0.17,-0.92,0.06,0.31,,,
127150,0.03,-0.98,0.20,13.73,-16.11,5.37,,,
127743,-0.02,-0.96,0.29,-0.24,-0.18,3.60,,,
128378,0.21,-0.59,0.98,61.71,20.32,-4.52,,,
128971,0.01,-0.49,0.86,-42.36,-34.18,52.98,,,
129565,0.09,-0.45,0.85,0.31,28.32,-67.87,,,
130157,0.08,-0.49,0.89,22.28,38.02,12.33,,,
130750,-0.31,-0.36,0.81,-0.37,132.75,-90.94,,,
131343,0.01,-0.75,0.91,-249.63,-112.61,43.95,,,
131936,0.20,-0.96,0.10,-23.93,-54.32,20.51,,,
132530,-0.06,-0.96,-0.20,-0.98,-55.91,-25.15,,,
133131,-0.08,-1.04,-0.19,6.71,28.75,7.57,,,
133725,-0.10,-1.01,-0.06,-1.34,-29.05,-0.12,,,
134317,0.03,-0.99,-0.17,-9.09,2.93,-2.81,,,
134910,0.26,-0.96,-0.15,2.20,26.00,-17.21,,,
135545,0.31,-0.98,0.01,6.47,-74.28,65.73,,,
136137,0.27,-1.13,0.31,-40.53,-88.32,-28.44,,,
136731,0.69,-1.49,0.98,114.81,-34.97,77.45,,,
137324,0.10,-0.74,0.52,-24.05,21.55,2.69,,,
137917,0.21,-0.93,0.37,-6.04,15.44,-6.65,,,
138510,0.20,-0.94,0.40,-9.16,58.35,-33.20,,,
139102,0.39,-1.05,0.54,30.64,-20.02,59.39,,,
139704,0.11,-0.81,0.68,12.39,-13.43,9.83,,,
140296,0.16,-0.79,0.66,-1.46,4.15,-1.04,,,
140890,0.22,-0.84,0.56,-26.67,9.40,-22.09,,,
141482,0.40,-0.78,0.23,-31.43,-30.76,2.38,,,
142076,0.37,-0.95,-0.04,7.45,-30.21,55.60,,,
142711,0.18,-0.99,-0.01,-8.97,-8.54,7.39,,,
143304,0.14,-0.97,-0.18,-8.85,7.87,3.72,,,
143897,0.13,-1.02,-0.05,5.55,8.00,3.05,,,
144489,0.26,-0.83,0.17,83.01,10.13,-68.36,,,
145083,0.35,-0.53,0.51,28.81,200.62,-34.00,,,
145675,0.34,-0.49,0.75,16.05,68.42,-0.79,,,
146277,0.31,-0.55,0.93,88.20,20.14,-31.56,,,
146870,0.12,-0.64,1.00,119.93,45.53,8.06,,,
147462,0.35,-0.52,0.88,65.37,6.53,-26.43,,,
148056,0.08,-0.57,0.97,30.76,27.89,37.72,,,
148649,-0.12,-0.58,0.83,-8.36,47.73,-48.95,,,
149242,-0.18,-0.61,0.85,8.00,-15.26,-0.79,,,
149877,0.31,-0.89,0.45,-50.96,-45.78,-13.92,,,
150471,0.27,-0.92,-0.21,-2.99,-47.61,-11.23,,,
151065,0.21,-0.98,-0.11,13.12,14.40,-10.68,,,
151657,0.30,-0.96,0.11,-10.62,20.39,-71.35,,,
152251,0.42,-0.85,-0.26,-13.98,-42.11,42.30,,,
152853,-0.01,-0.87,-0.46,-4.33,-8.06,-3.36,,,
153445,-0.13,-0.86,-0.51,38.15,-11.66,35.40,,,
154038,-0.27,-0.90,-0.33,-3.05,0.85,-0.73,,,
154631,-0.30,-0.92,-0.31,-1.71,-0.43,-2.75,,,
155224,-0.31,-0.92,-0.30,-5.86,-4.94,-4.09,,,
155817,-0.42,-1.05,-0.10,34.97,-11.35,0.49,,,
156411,-0.03,-1.20,0.31,113.65,-134.34,-79.10,,,
157004,0.14,-0.90,0.47,2.56,-0.31,1.59,,,
157639,0.11,-0.97,0.30,-5.19,-5.00,12.45,,,
158233,0.10,-0.98,0.19,-2.75,24.11,-18.80,,,
158834,0.17,-0.91,-0.14,-15.69,-3.91,28.99,,,
159428,-0.25,-0.85,-0.06,95.03,-54.32,26.37,,,
160021,0.31,-1.10,0.38,-41.08,141.36,-7.63,,,
160614,0.43,-0.71,0.88,51.33,148.32,-26.79,,,
161207,-0.02,-0.69,0.64,0.92,-11.23,-15.32,,,
161799,0.26,-0.99,0.60,56.27,-80.81,65.00,,,
162393,0.09,-0.66,0.80,-97.72,-55.42,-2.44,,,
162986,0.22,-0.83,0.70,66.77,94.67,-58.96,,,
163579,0.16,-0.62,0.72,69.03,-20.32,50.35,,,
164214,0.14,-0.37,0.80,-38.21,36.25,-59.20,,,
164807,0.12,-0.61,1.20,-32.78,5.55,-12.02,,,
165409,0.15,-0.70,0.73,8.12,4.15,-28.20,,,
