Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
28,-0.17,-0.41,0.72,30.46,-22.46,-9.22,,,
621,0.03,-0.61,1.03,-20.02,-9.89,-28.08,,,
1214,-0.12,-0.51,0.88,12.76,9.03,-9.34,,,
1807,-0.10,-0.60,0.85,-10.86,-61.04,81.67,,,
2400,-0.11,-0.64,0.79,3.23,-3.17,6.23,,,
2992,-0.01,-0.67,0.78,4.15,6.96,-78.55,,,
3585,-0.05,-0.67,0.69,-79.16,-19.41,75.07,,,
4177,-0.06,-0.39,0.89,-39.18,4.21,-15.50,,,
4771,-0.05,-0.37,0.89,21.36,-16.24,35.64,,,
5363,-0.15,-0.40,0.84,-37.11,57.98,-98.27,,,
6008,-0.18,-0.53,0.76,-57.62,-21.73,3.72,,,
6600,-0.20,-0.62,0.74,3.66,15.32,-29.85,,,
7192,-0.20,-0.66,0.76,-0.37,0.18,-3.17,,,
7786,-0.21,-0.65,0.74,-23.25,-33.63,7.32,,,
8378,-0.21,-0.85,0.46,-30.82,57.92,-47.49,,,
8972,-0.13,-0.91,0.39,1.71,-2.01,0.79,,,
9564,-0.17,-0.91,0.42,-2.14,-1.53,-2.69,,,
10156,-0.18,-0.91,0.43,-0.61,-1.04,0.79,,,
10749,-0.22,-0.92,0.40,-1.53,-0.55,-0.79,,,
11342,-0.16,-0.91,0.37,0.06,-10.74,1.34,,,
11935,-0.20,-0.97,0.40,-6.23,-8.24,2.20,,,
12528,-0.02,-0.78,0.64,7.32,-46.63,9.70,,,
13173,-0.06,-0.57,0.90,-4.15,2.56,6.29,,,
13765,-0.13,-0.56,0.88,-21.79,23.86,2.62,,,
14358,-0.19,-0.71,0.72,-41.56,60.00,-33.33,,,
14952,-0.20,-0.89,0.60,-19.78,45.78,-6.35,,,
15545,-0.20,-0.87,0.51,-0.06,0.61,0.55,,,
16138,-0.20,-0.85,0.54,-3.60,-2.93,1.28,,,
16731,-0.12,-0.85,0.53,7.93,11.05,-6.10,,,
17323,-0.11,-0.86,0.54,-2.08,-1.59,0.67,,,
17916,-0.12,-0.86,0.54,-0.31,-1.83,-0.37,,,
18508,0.06,-0.88,0.42,-16.60,-71.47,31.86,,,
19102,0.00,-0.91,0.46,2.56,-1.71,-2.01,,,
19704,0.03,-0.90,0.48,-1.53,2.62,-0.73,,,
20340,0.05,-0.77,0.79,29.79,10.86,25.57,,,
20933,0.05,-0.54,0.88,41.02,-50.84,106.93,,,
21526,0.03,-0.42,0.76,-61.58,3.11,-12.15,,,
22119,0.09,-0.49,0.89,-13.73,-32.78,77.21,,,
22712,-0.08,-0.43,0.91,-0.67,60.42,-117.31,,,
23307,0.01,-0.53,0.95,-11.47,-29.42,23.99,,,
23900,-0.01,-0.54,0.85,-20.08,-9.64,-2.99,,,
24492,-0.14,-0.61,0.82,12.33,10.62,-1.65,,,
25085,-0.05,-0.42,0.84,33.87,22.58,-43.21,,,
25678,-0.08,-0.47,0.81,-61.52,-30.64,32.35,,,
26281,-0.04,-0.54,0.85,1.53,-10.44,2.44,,,
26874,0.02,-0.51,0.90,-5.37,3.72,32.23,,,
27467,-0.20,-0.66,1.00,60.85,-5.80,76.78,,,
28114,-0.01,-0.44,0.92,69.40,30.33,-85.45,,,
28707,-0.14,-0.48,1.03,36.62,-14.71,9.46,,,
29300,-0.00,-0.43,0.94,-36.74,-48.95,13.73,,,
29894,0.05,-0.53,0.87,-3.85,-62.38,73.00,,,
30487,0.07,-0.65,0.80,-7.87,-2.75,9.89,,,
31080,0.06,-0.71,0.84,-12.21,-19.47,0.24,,,
31673,0.15,-0.71,0.74,14.77,-2.14,1.71,,,
32265,0.13,-0.67,0.77,-0.12,1.04,-1.46,,,
32867,-0.07,-0.62,0.72,59.14,52.86,59.39,,,
33460,0.21,-0.71,0.72,-3.60,3.78,-4.82,,,
34052,0.20,-0.70,0.73,-0.67,-1.22,-0.24,,,
34646,0.19,-0.69,0.74,-0.98,-2.14,-0.85,,,
35279,0.28,-0.73,0.68,-1.16,-2.50,-1.40,,,
35871,0.27,-0.73,0.68,-4.46,2.08,-2.81,,,
36464,0.28,-0.73,0.66,1.16,-0.98,0.31,,,
37057,0.18,-0.64,0.80,14.40,44.49,-39.67,,,
37650,0.15,-0.48,0.78,11.96,-34.30,28.20,,,
38243,0.04,-0.48,0.91,-9.40,-20.63,110.35,,,
38837,0.04,-0.46,0.91,35.95,-40.65,-16.17,,,
39429,-0.11,-0.44,0.97,-4.52,-10.50,65.67,,,
40031,-0.03,-0.51,0.86,-19.90,6.29,-84.05,,,
40625,-0.08,-0.58,0.87,-5.13,-20.69,55.30,,,
41218,-0.13,-0.59,0.83,-8.30,-5.31,-0.49,,,
41811,-0.15,-0.60,0.88,-9.03,67.08,-50.60,,,
42447,-0.23,-0.66,0.69,7.57,4.94,-2.44,,,
43039,-0.34,-0.70,0.70,24.96,53.77,-64.15,,,
43632,-0.18,-0.67,0.83,14.47,-53.10,79.16,,,
44225,0.25,-0.58,0.80,-11.66,1.22,41.44,,,
44819,0.04,-0.64,0.82,11.23,7.14,-4.09,,,
45411,0.02,-0.64,0.81,-2.50,-6.16,0.85,,,
46004,0.02,-0.66,0.79,-0.12,4.70,-3.42,,,
46605,0.02,-0.66,0.79,-0.55,-0.31,0.61,,,
47198,-0.01,-0.68,0.78,16.85,38.15,-15.14,,,
47791,-0.03,-0.46,0.93,22.46,13.67,-17.46,,,
48384,0.06,-0.50,0.97,16.05,14.22,12.27,,,
48978,-0.10,-0.54,0.94,57.80,-12.70,44.74,,,
49613,0.12,-0.56,0.95,2.32,-117.74,101.44,,,
50205,0.21,-0.62,0.91,13.06,-10.19,19.04,,,
50798,-0.07,-0.60,0.92,13.49,65.61,-66.04,,,
51391,-0.09,-0.73,0.91,-6.35,52.00,9.70,,,
51984,-0.22,-0.58,0.83,14.71,-4.70,5.13,,,
52577,-0.24,-0.54,0.78,16.42,55.73,-83.01,,,
53179,-0.27,-0.57,0.84,-2.81,-3.78,2.38,,,
53772,-0.12,-0.60,0.84,0.73,-5.37,23.99,,,
54364,-0.06,-0.57,0.89,10.56,-25.21,3.17,,,
54958,0.06,-0.53,0.85,1.71,4.33,-2.81,,,
55550,0.17,-0.46,0.82,15.20,-98.33,58.65,,,
56144,0.16,-0.52,0.87,1.16,0.79,1.40,,,
56736,0.18,-0.51,0.86,2.69,-0.55,-3.60,,,
57372,0.00,-0.53,0.90,2.56,5.49,0.31,,,
57964,0.04,-0.52,0.90,-0.49,-1.40,1.89,,,
58556,0.08,-0.52,0.83,9.58,-26.06,17.09,,,
59150,-0.10,-0.47,0.93,4.52,-2.99,-53.04,,,
59751,-0.14,-0.49,0.89,-70.25,-7.63,24.54,,,
60345,-0.15,-0.58,0.83,3.11,13.49,-12.94,,,
60938,0.02,-0.66,0.80,12.21,3.78,-20.32,,,
61531,-0.28,-0.68,1.21,92.22,-19.04,19.10,,,
62124,-0.02,-0.55,0.94,56.27,17.15,-27.47,,,
62717,-0.02,-0.53,0.91,30.76,39.73,-33.33,,,
63311,-0.07,-0.54,0.85,5.49,-13.49,-4.52,,,
63904,-0.10,-0.38,0.88,42.72,-10.07,25.27,,,
64540,-0.09,-0.33,0.96,-9.89,10.19,-13.49,,,
65133,-0.09,-0.41,0.95,-15.26,-10.93,-1.89,,,
65726,-0.06,-0.44,0.93,-2.69,3.17,-4.76,,,
66328,0.14,-0.71,0.86,-45.53,-45.90,10.50,,,
66921,-0.06,-0.66,0.94,75.81,-60.42,20.87,,,
67515,-0.22,-0.45,0.87,-15.01,25.45,-65.19,,,
68109,-0.02,-0.52,0.90,-18.68,-42.30,23.32,,,
68702,-0.13,-0.42,0.92,26.98,39.92,-81.42,,,
69295,-0.04,-0.53,0.85,39.55,-18.19,-34.85,,,
69888,-0.09,-0.45,0.87,-15.50,0.24,-15.44,,,
70482,-0.19,-0.45,0.93,16.11,-4.15,-12.70,,,
71074,-0.24,-0.40,0.91,21.48,18.98,1.77,,,
71710,-0.18,-0.28,0.92,-8.36,-17.58,1.95,,,
72303,-0.14,-0.53,0.88,-0.37,-37.23,20.39,,,
72904,-0.12,-0.54,0.87,0.79,4.15,-2.14,,,
73498,0.06,-0.71,0.96,-39.92,-76.23,71.47,,,
74091,0.15,-0.79,0.60,-2.87,0.92,1.34,,,
74684,0.17,-0.83,0.61,-2.87,0.37,1.22,,,
75276,0.19,-0.80,0.59,0.12,1.59,-0.85,,,
75868,0.18,-0.81,0.60,-0.37,1.40,-2.32,,,
76461,0.33,-0.79,0.48,-1.16,-78.00,37.84,,,
77053,0.16,-0.83,0.57,1.89,-2.50,5.49,,,
77647,0.33,-0.65,0.56,3.23,-162.84,87.77,,,
78239,0.10,-0.58,0.82,-15.63,8.91,0.18,,,
78875,0.31,-0.68,0.71,9.34,-25.76,9.34,,,
79467,0.24,-0.77,0.72,8.91,-9.52,14.22,,,
80068,0.26,-0.73,0.67,-17.52,-27.22,23.25,,,
80663,0.20,-0.86,0.48,-16.48,18.92,-9.16,,,
81255,0.22,-0.88,0.48,-5.74,2.75,-4.76,,,
81849,0.22,-0.90,0.45,-1.40,-2.93,2.75,,,
82441,0.09,-0.94,0.43,12.21,-11.90,15.81,,,
83035,0.06,-0.91,0.47,-1.10,-0.31,-0.31,,,
83627,-0.02,-0.86,0.45,32.65,43.70,14.59,,,
84220,-0.02,-0.59,0.80,99.61,-1.34,-3.85,,,
84814,0.01,-0.02,1.03,3.60,-9.34,-2.32,,,
85407,0.02,-0.02,1.07,-12.51,-24.90,28.99,,,
86001,0.10,0.01,0.99,7.51,-10.93,12.63,,,
86645,0.16,-0.02,1.02,-5.37,-9.83,35.46,,,
87237,0.11,-0.12,1.03,-4.09,3.36,-10.31,,,
87831,-0.03,-0.53,0.84,-8.12,96.86,-36.13,,,
88424,-0.04,-0.80,0.60,0.18,-4.88,-6.77,,,
89017,0.01,-0.84,0.60,0.37,-1.53,0.43,,,
89609,0.01,-0.86,0.55,0.24,-0.49,0.18,,,
90202,0.01,-0.86,0.55,-1.28,-1.59,-0.98,,,
90794,-0.00,-0.87,0.54,1.10,0.37,0.43,,,
91387,0.02,-0.95,0.31,-20.02,28.14,-14.34,,,
91981,-0.02,-0.97,0.30,-27.89,35.89,-10.99,,,
92574,0.05,-0.99,0.28,-1.59,7.81,-2.26,,,
93167,0.05,-0.98,0.28,0.43,-1.34,-0.18,,,
93809,0.04,-0.97,0.28,0.67,-0.12,0.06,,,
94402,-0.03,-1.02,0.30,-9.28,16.97,-7.51,,,
94994,0.27,-0.96,0.14,-1.83,11.23,-6.65,,,
95587,0.25,-0.98,0.16,0.67,-0.31,-0.31,,,
96180,0.25,-0.96,0.16,0.49,-0.49,0.73,,,
96772,0.24,-0.97,0.17,2.01,-3.78,0.73,,,
97366,0.08,-0.98,0.17,-2.87,-28.87,28.99,,,
97958,0.01,-1.02,0.15,4.52,-5.62,0.92,,,
98551,0.01,-1.00,0.10,-1.40,-1.16,2.44,,,
99144,0.01,-1.01,0.08,-0.55,-0.24,-0.73,,,
99737,-0.07,-1.02,0.11,1.10,-89.66,20.14,,,
100339,-0.09,-0.99,0.18,21.73,-33.51,0.98,,,
100975,-0.04,-0.99,0.23,0.31,0.85,0.18,,,
