AccelXMean,AccelXStd,AccelXMin,AccelXMax,AccelYMean,AccelYStd,AccelYMin,AccelYMax,AccelZMean,AccelZStd,AccelZMin,AccelZMax,GyroXMean,GyroXStd,GyroXMin,GyroXMax,GyroYMean,GyroYStd,GyroYMin,GyroYMax,GyroZMean,GyroZStd,GyroZMin,GyroZMax,MagXMean,MagXStd,MagXMin,MagXMax,MagYMean,MagYStd,MagYMin,MagYMax,MagZMean,MagZStd,MagZMin,MagZMax,Behavior,WindowStart,WindowEnd
-0.20500000000000002,0.0049999999999999906,-0.21,-0.2,-0.755,0.09499999999999997,-0.85,-0.66,0.61,0.15,0.46,0.76,-15.595,15.225000000000001,-30.82,-0.37,29.05,28.87,0.18,57.92,-25.330000000000002,22.160000000000004,-47.49,-3.17,,,,,,,,,,,,,stand,7.192,9.192
-0.18666666666666668,0.01699673171197594,-0.21,-0.17,-0.89,0.028284271247461926,-0.91,-0.85,0.4366666666666667,0.016996731711975962,0.42,0.46,-11.19,13.894552889531928,-30.82,-0.61,18.45,27.910221544564394,-1.53,57.92,-16.463333333333335,21.985118198959547,-47.49,0.79,,,,,,,,,,,,,stand,8.192,10.192
-0.175,0.0049999999999999906,-0.18,-0.17,-0.91,0.0,-0.91,-0.91,0.425,0.0050000000000000044,0.42,0.43,-1.375,0.7650000000000001,-2.14,-0.61,-1.2850000000000001,0.245,-1.53,-1.04,-0.95,1.74,-2.69,0.79,,,,,,,,,,,,,stand,9.192,11.192
-0.16,0.0,-0.16,-0.16,-0.91,0.0,-0.91,-0.91,0.37,0.0,0.37,0.37,0.06,0.0,0.06,0.06,-10.74,0.0,-10.74,-10.74,1.34,0.0,1.34,1.34,,,,,,,,,,,,,stand,10.192,12.192
-0.09,0.06999999999999999,-0.16,-0.02,-0.845,0.065,-0.91,-0.78,0.505,0.135,0.37,0.64,3.69,3.63,0.06,7.32,-28.685000000000002,17.945,-46.63,-10.74,5.52,4.18,1.34,9.7,,,,,,,,,,,,,stand,11.192,13.192
-0.075,0.055,-0.13,-0.02,-0.67,0.10999999999999999,-0.78,-0.56,0.76,0.12,0.64,0.88,-7.234999999999999,14.555,-21.79,7.32,-11.385000000000002,35.245000000000005,-46.63,23.86,6.16,3.5399999999999996,2.62,9.7,,,,,,,,,,,,,stand,12.192,14.192
-0.165,0.035,-0.2,-0.13,-0.7250000000000001,0.16499999999999998,-0.89,-0.56,0.74,0.14,0.6,0.88,-20.785,1.004999999999999,-21.79,-19.78,34.82,10.96,23.86,45.78,-1.8649999999999998,4.484999999999999,-6.35,2.62,,,,,,,,,,,,,stand,13.192,15.192
-0.2,0.0,-0.2,-0.2,-0.87,0.020000000000000018,-0.89,-0.85,0.5700000000000001,0.02999999999999997,0.54,0.6,-11.690000000000001,8.09,-19.78,-3.6,21.425,24.355,-2.93,45.78,-2.5349999999999997,3.815,-6.35,1.28,,,,,,,,,,,,,stand,14.192,16.192
-0.16,0.04000000000000001,-0.2,-0.12,-0.85,0.0,-0.85,-0.85,0.535,0.0050000000000000044,0.53,0.54,2.165,5.765,-3.6,7.93,4.0600000000000005,6.99,-2.93,11.05,-2.4099999999999997,3.6899999999999995,-6.1,1.28,,,,,,,,,,,,,stand,15.192,17.192
-0.12,0.0,-0.12,-0.12,-0.855,0.0050000000000000044,-0.86,-0.85,0.535,0.0050000000000000044,0.53,0.54,3.81,4.119999999999999,-0.31,7.93,4.61,6.44,-1.83,11.05,-3.235,2.8649999999999998,-6.1,-0.37,,,,,,,,,,,,,stand,16.192,18.192
-0.06,0.06,-0.12,0.0,-0.885,0.025000000000000022,-0.91,-0.86,0.5,0.04000000000000001,0.46,0.54,1.125,1.435,-0.31,2.56,-1.77,0.06000000000000005,-1.83,-1.71,-1.19,0.82,-2.01,-0.37,,,,,,,,,,,,,stand,17.192,19.192
0.0,0.0,0.0,0.0,-0.91,0.0,-0.91,-0.91,0.46,0.0,0.46,0.46,2.56,0.0,2.56,2.56,-1.71,0.0,-1.71,-1.71,-2.01,0.0,-2.01,-2.01,,,,,,,,,,,,,stand,18.192,20.192
0.05,0.0,0.05,0.05,-0.77,0.0,-0.77,-0.77,0.79,0.0,0.79,0.79,29.79,0.0,29.79,29.79,10.86,0.0,10.86,10.86,25.57,0.0,25.57,25.57,,,,,,,,,,,,,stand,19.192,21.192
0.04,0.010000000000000002,0.03,0.05,-0.595,0.17500000000000002,-0.77,-0.42,0.775,0.015000000000000013,0.76,0.79,-15.895,45.685,-61.58,29.79,6.984999999999999,3.8749999999999996,3.11,10.86,6.71,18.86,-12.15,25.57,,,,,,,,,,,,,stand,20.192,22.192
-0.025,0.055,-0.08,0.03,-0.425,0.0050000000000000044,-0.43,-0.42,0.835,0.07500000000000001,0.76,0.91,-31.125,30.455,-61.58,-0.67,31.765,28.655,3.11,60.42,-64.73,52.580000000000005,-117.31,-12.15,,,,,,,,,,,,,stand,21.192,23.192
-0.035,0.045,-0.08,0.01,-0.48,0.05000000000000002,-0.53,-0.43,0.9299999999999999,0.019999999999999962,0.91,0.95,-6.07,5.4,-11.47,-0.67,15.5,44.92,-29.42,60.42,-46.660000000000004,70.65,-117.31,23.99,,,,,,,,,,,,,stand,22.192,24.192
-0.065,0.07500000000000001,-0.14,0.01,-0.5700000000000001,0.03999999999999998,-0.61,-0.53,0.885,0.065,0.82,0.95,0.4299999999999997,11.9,-11.47,12.33,-9.400000000000002,20.020000000000003,-29.42,10.62,11.17,12.82,-1.65,23.99,,,,,,,,,,,,,stand,23.192,25.192
-0.11000000000000001,0.030000000000000006,-0.14,-0.08,-0.54,0.07,-0.61,-0.47,0.815,0.004999999999999949,0.81,0.82,-24.595000000000002,36.925000000000004,-61.52,12.33,-10.010000000000002,20.63,-30.64,10.62,15.350000000000001,17.0,-1.65,32.35,,,,,,,,,,,,,stand,24.192,26.192
-0.03,0.05,-0.08,0.02,-0.49,0.020000000000000018,-0.51,-0.47,0.855,0.04499999999999999,0.81,0.9,-33.445,28.075,-61.52,-5.37,-13.46,17.18,-30.64,3.72,32.29,0.060000000000002274,32.23,32.35,,,,,,,,,,,,,stand,25.192,27.192
0.005,0.015,-0.01,0.02,-0.475,0.035,-0.51,-0.44,0.91,0.010000000000000009,0.9,0.92,32.015,37.385000000000005,-5.37,69.4,17.025,13.304999999999998,3.72,30.33,-26.610000000000003,58.84,-85.45,32.23,,,,,,,,,,,,,stand,26.192,28.192
-0.01,0.0,-0.01,-0.01,-0.44,0.0,-0.44,-0.44,0.92,0.0,0.92,0.92,69.4,0.0,69.4,69.4,30.33,0.0,30.33,30.33,-85.45,0.0,-85.45,-85.45,,,,,,,,,,,,,stand,27.192,29.192
0.025,0.025,-0.0,0.05,-0.48,0.05000000000000002,-0.53,-0.43,0.905,0.034999999999999976,0.87,0.94,-20.295,16.445,-36.74,-3.85,-55.665000000000006,6.715,-62.38,-48.95,43.365,29.634999999999998,13.73,73.0,,,,,,,,,,,,,stand,28.192,30.192
0.03666666666666667,0.026246692913372706,-0.0,0.06,-0.5566666666666666,0.11585431464655177,-0.71,-0.43,0.8833333333333333,0.04189935029992177,0.84,0.94,-17.6,13.957724265318708,-36.74,-3.85,-43.6,17.921754006420986,-62.38,-19.47,28.99,31.603323664872132,0.24,73.0,,,,,,,,,,,,,stand,29.192,31.192
0.06,0.0,0.06,0.06,-0.71,0.0,-0.71,-0.71,0.84,0.0,0.84,0.84,-12.21,0.0,-12.21,-12.21,-19.47,0.0,-19.47,-19.47,0.24,0.0,0.24,0.24,,,,,,,,,,,,,stand,30.192,32.192
0.13,0.0,0.13,0.13,-0.67,0.0,-0.67,-0.67,0.77,0.0,0.77,0.77,-0.12,0.0,-0.12,-0.12,1.04,0.0,1.04,1.04,-1.46,0.0,-1.46,-1.46,,,,,,,,,,,,,stand,31.192,33.192
0.16999999999999998,0.039999999999999994,0.13,0.21,-0.69,0.019999999999999962,-0.71,-0.67,0.745,0.025000000000000022,0.72,0.77,-1.86,1.7400000000000002,-3.6,-0.12,2.41,1.3699999999999999,1.04,3.78,-3.14,1.6800000000000002,-4.82,-1.46,,,,,,,,,,,,,stand,32.192,34.192
0.2,0.009999999999999995,0.19,0.21,-0.7,0.010000000000000009,-0.71,-0.69,0.73,0.010000000000000009,0.72,0.74,-2.29,1.31,-3.6,-0.98,0.8199999999999998,2.96,-2.14,3.78,-2.835,1.985,-4.82,-0.85,,,,,,,,,,,,,stand,33.192,35.192
0.23,0.04000000000000001,0.19,0.27,-0.71,0.020000000000000018,-0.73,-0.69,0.71,0.02999999999999997,0.68,0.74,-2.7199999999999998,1.74,-4.46,-0.98,-0.030000000000000027,2.1100000000000003,-2.14,2.08,-1.83,0.98,-2.81,-0.85,,,,,,,,,,,,,stand,34.192,36.192
0.275,0.0050000000000000044,0.27,0.28,-0.73,0.0,-0.73,-0.73,0.67,0.010000000000000009,0.66,0.68,-1.65,2.8099999999999996,-4.46,1.16,0.55,1.53,-0.98,2.08,-1.25,1.56,-2.81,0.31,,,,,,,,,,,,,stand,35.192,37.192
0.21500000000000002,0.06500000000000002,0.15,0.28,-0.605,0.125,-0.73,-0.48,0.72,0.06,0.66,0.78,6.5600000000000005,5.4,1.16,11.96,-17.639999999999997,16.66,-34.3,-0.98,14.254999999999999,13.945,0.31,28.2,,,,,,,,,,,,,stand,36.192,38.192
0.095,0.055,0.04,0.15,-0.47,0.009999999999999981,-0.48,-0.46,0.845,0.065,0.78,0.91,23.955000000000002,11.995000000000001,11.96,35.95,-37.474999999999994,3.1750000000000007,-40.65,-34.3,6.014999999999999,22.185000000000002,-16.17,28.2,,,,,,,,,,,,,stand,37.192,39.192
0.005000000000000001,0.035,-0.03,0.04,-0.485,0.024999999999999994,-0.51,-0.46,0.885,0.025000000000000022,0.86,0.91,8.025000000000002,27.925,-19.9,35.95,-17.18,23.47,-40.65,6.29,-50.11,33.94,-84.05,-16.17,,,,,,,,,,,,,stand,38.192,40.192
-0.03,0.0,-0.03,-0.03,-0.51,0.0,-0.51,-0.51,0.86,0.0,0.86,0.86,-19.9,0.0,-19.9,-19.9,6.29,0.0,6.29,6.29,-84.05,0.0,-84.05,-84.05,,,,,,,,,,,,,stand,39.192,41.192
-0.13,0.0,-0.13,-0.13,-0.59,0.0,-0.59,-0.59,0.83,0.0,0.83,0.83,-8.3,0.0,-8.3,-8.3,-5.31,0.0,-5.31,-5.31,-0.49,0.0,-0.49,-0.49,,,,,,,,,,,,,stand,40.192,42.192
