Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
28,0.20,-0.32,0.74,55.30,22.46,53.77,,,
620,0.34,-0.63,0.94,85.82,2.50,-22.28,,,
1214,0.09,-0.66,0.92,2.81,7.08,40.89,,,
1806,0.17,-0.47,0.97,0.79,-42.36,16.85,,,
2399,0.08,-0.49,0.97,2.87,50.29,4.21,,,
2991,0.26,-0.72,0.81,54.38,-58.23,29.72,,,
3583,0.11,-0.66,0.89,15.93,1.34,4.82,,,
4175,0.11,-0.38,0.81,6.71,23.80,-23.50,,,
4768,0.34,0.07,0.95,19.17,3.54,48.52,,,
5402,-0.07,-0.08,1.16,-142.58,6.16,-60.91,,,
5996,0.09,-0.44,0.93,2.99,15.14,-45.10,,,
6597,-0.04,-0.66,0.75,-4.70,14.16,-47.91,,,
7189,0.11,-0.70,0.66,47.55,50.96,-53.59,,,
7783,0.19,-0.63,0.79,-21.12,-20.08,-28.02,,,
8376,0.16,-0.54,0.89,16.24,29.42,1.77,,,
8969,-0.01,-0.59,1.02,96.56,53.28,28.20,,,
9561,0.26,-0.59,0.97,61.58,-29.48,-28.26,,,
10154,0.08,-0.48,0.91,79.96,1.89,21.85,,,
10747,0.09,-0.32,1.07,-80.93,30.40,29.05,,,
11339,0.02,-0.54,0.91,-7.93,-6.53,11.66,,,
11933,0.02,-0.72,0.78,-31.49,-8.73,1.28,,,
12569,0.03,-0.82,0.77,-23.93,2.87,-38.51,,,
13171,0.14,-0.91,0.16,-57.74,-34.18,7.75,,,
13764,0.08,-1.00,-0.06,-27.34,-12.33,45.04,,,
14357,0.12,-1.08,0.04,5.86,-35.58,8.06,,,
14950,-0.01,-1.03,0.04,14.47,-79.47,2.44,,,
15543,0.07,-0.99,0.05,-3.85,-5.80,-1.22,,,
16137,0.10,-0.93,-0.07,-5.62,13.37,5.86,,,
16729,0.43,-0.81,-0.16,-0.18,21.30,14.83,,,
17323,0.05,-1.65,0.04,-98.39,-78.06,184.75,,,
17916,0.06,-0.60,0.82,26.61,9.22,-56.82,,,
18509,0.07,-0.59,0.84,4.33,-13.73,-4.27,,,
19103,0.17,-0.48,0.93,-2.32,3.85,-19.23,,,
19747,0.09,-0.66,0.77,-27.22,4.94,-14.16,,,
20341,0.02,-0.87,0.49,-23.56,20.57,-22.46,,,
20934,-0.03,-0.91,0.44,-13.24,-47.30,21.55,,,
21528,0.08,-0.92,0.56,10.68,11.66,-5.62,,,
22121,0.11,-0.82,0.60,-8.00,-4.15,-2.62,,,
22714,0.12,-0.90,0.47,-7.39,10.19,-9.95,,,
23307,0.10,-0.92,0.39,-6.96,23.86,2.93,,,
23900,0.10,-0.79,0.64,55.18,-15.20,2.14,,,
24493,-0.03,-0.61,0.91,50.35,-11.11,22.46,,,
25086,0.19,0.21,1.06,-15.81,-26.55,117.00,,,
25679,-0.21,-0.51,0.52,-89.17,26.43,137.94,,,
26273,0.22,0.00,1.02,-58.47,53.41,69.52,,,
26918,-1.16,-2.89,1.05,323.36,-509.95,196.17,,,
27513,-0.21,-0.54,0.81,-10.56,107.36,-65.43,,,
28106,-0.29,-0.64,0.80,37.78,18.80,-46.94,,,
28699,0.04,-0.51,0.89,-44.56,17.70,51.09,,,
29292,-0.03,-0.42,1.00,-74.58,9.95,-24.78,,,
29885,-0.07,-0.49,0.93,-61.40,15.26,-83.44,,,
30479,0.13,-0.72,0.67,-9.46,-3.30,-16.60,,,
31072,0.06,-0.78,0.50,-5.80,16.30,-33.51,,,
31666,0.02,-0.90,0.47,9.22,-9.70,4.15,,,
32258,0.02,-0.68,0.74,23.38,7.87,-14.89,,,
32851,-0.05,-0.61,0.81,9.77,9.52,-130.80,,,
33496,0.16,-0.68,0.71,-22.34,-3.66,-6.29,,,
34089,0.29,-0.95,0.38,-58.17,9.09,-28.26,,,
34683,0.20,-0.90,0.34,4.03,-100.59,63.54,,,
35276,0.17,-1.08,-0.12,-25.82,-23.07,1.65,,,
35869,0.15,-0.93,-0.15,-9.58,-3.36,11.60,,,
36462,0.11,-0.97,-0.16,-4.88,2.56,0.92,,,
37054,0.27,-1.01,-0.04,30.09,29.17,-9.77,,,
37648,0.09,-0.95,0.25,19.23,-12.76,11.66,,,
38241,-0.05,-1.02,0.31,-7.87,-36.74,-1.71,,,
38835,-0.02,-0.98,0.05,-10.68,0.49,-10.19,,,
39428,0.10,-0.99,0.08,34.30,-13.37,-9.40,,,
40029,0.16,-0.96,0.02,29.17,-14.40,5.49,,,
40622,0.06,-0.93,0.11,8.79,19.59,-5.19,,,
41258,0.06,-0.94,0.06,-1.40,47.42,-14.16,,,
41851,-0.06,-0.34,0.84,-28.14,54.14,-104.92,,,
42445,-0.05,-0.40,0.44,12.45,-28.38,88.20,,,
43038,-0.08,-0.70,0.89,-12.88,23.80,-26.18,,,
43631,-0.13,-0.58,0.79,-5.55,58.65,10.80,,,
44224,0.19,-0.72,0.82,-15.26,-87.95,72.39,,,
44818,0.14,-0.82,0.58,20.51,121.70,-71.47,,,
45411,0.20,-0.74,0.57,38.76,1.83,-27.40,,,
46005,0.07,-0.54,0.82,7.26,-13.55,19.96,,,
46607,-0.15,-0.51,0.77,-34.18,-69.95,111.76,,,
47201,0.07,-0.51,0.91,-71.04,17.94,38.57,,,
47837,0.23,-0.54,0.83,-40.89,-52.43,81.79,,,
48430,0.36,-0.21,1.14,-28.14,-57.50,113.22,,,
49024,0.22,-0.57,0.92,2.69,-19.71,113.22,,,
49617,-0.04,-0.48,0.87,50.05,17.15,-52.80,,,
50211,0.10,-0.44,0.81,-78.06,-47.42,85.82,,,
50804,-0.28,-0.26,0.99,-19.65,0.31,-34.06,,,
51397,-0.14,-0.57,0.86,3.91,-9.34,-28.32,,,
51991,-0.05,-0.66,0.86,19.90,22.83,28.56,,,
52584,-0.04,-0.44,0.88,-5.25,-28.56,-15.38,,,
53187,-0.01,-0.53,0.86,32.65,33.94,25.33,,,
53780,0.04,-0.56,0.85,64.82,-23.74,7.32,,,
54373,0.17,-0.55,0.73,-29.91,-29.79,9.77,,,
54966,0.46,-0.09,0.69,90.27,145.87,-3.97,,,
55603,0.11,-0.58,0.81,-24.23,-6.16,-0.24,,,
56196,0.12,-0.62,0.80,-1.16,-1.28,0.18,,,
56789,-0.00,-0.73,0.84,-109.62,106.45,-75.32,,,
57384,-0.09,-0.57,1.07,15.69,63.84,-143.13,,,
57977,0.61,-0.67,0.23,-11.29,-121.64,43.64,,,
58571,0.20,-0.97,-0.19,-13.79,-76.05,31.19,,,
59165,-0.09,-0.91,0.24,84.05,-16.85,21.30,,,
59767,-0.07,-0.94,0.47,-51.45,8.24,2.93,,,
60361,0.44,-2.24,0.14,-95.34,-59.02,-101.87,,,
60954,-0.07,-0.33,0.37,-66.41,53.47,-168.95,,,
61548,-0.03,-0.55,0.70,-244.02,35.64,-31.68,,,
62184,0.03,-0.45,0.85,52.86,46.57,-15.26,,,
62777,-0.15,-0.64,0.91,197.51,15.69,-3.48,,,
63371,-0.11,-0.51,1.03,-27.65,-79.35,22.03,,,
63965,-0.02,-0.51,0.91,-17.27,-15.01,10.93,,,
64559,-0.03,-0.50,0.83,11.66,26.73,-44.13,,,
65152,-0.16,-0.56,0.88,-33.69,21.24,-16.60,,,
65754,-2.02,-1.76,1.09,-325.38,446.11,-190.49,,,
66349,0.46,-1.64,1.26,376.04,-17.09,340.45,,,
66943,-0.08,0.27,0.03,-62.74,-171.57,5.43,,,
67537,-0.41,-0.96,1.44,111.39,154.05,-162.35,,,
68131,-0.04,-0.63,0.56,-11.66,38.57,-59.08,,,
68725,0.01,-0.88,0.53,0.12,-2.08,-3.05,,,
69317,-0.00,-0.87,0.48,-0.79,-8.61,5.13,,,
69965,-0.03,-0.91,0.46,-16.05,-0.31,-5.98,,,
70559,0.02,-0.93,0.42,-1.95,-0.49,0.31,,,
71152,0.13,-0.82,0.50,66.16,-49.62,44.19,,,
71746,0.19,-0.55,0.74,41.63,-33.14,26.49,,,
72348,0.27,-0.47,0.76,-58.59,-7.75,18.98,,,
72942,0.03,-0.50,0.79,38.21,26.37,3.11,,,
73535,0.18,-0.65,1.09,95.34,11.84,-4.33,,,
