AccelXMean,AccelXStd,AccelXMin,AccelXMax,AccelYMean,AccelYStd,AccelYMin,AccelYMax,AccelZMean,AccelZStd,AccelZMin,AccelZMax,GyroXMean,GyroXStd,GyroXMin,GyroXMax,GyroYMean,GyroYStd,GyroYMin,GyroYMax,GyroZMean,GyroZStd,GyroZMin,GyroZMax,MagXMean,MagXStd,MagXMin,MagXMax,MagYMean,MagYStd,MagYMin,MagYMax,MagZMean,MagZStd,MagZMin,MagZMax,Behavior,WindowStart,WindowEnd
0.10666666666666667,0.07408703590297623,0.01,0.19,-0.7266666666666667,0.033993463423951875,-0.76,-0.68,0.7066666666666667,0.04189935029992177,0.65,0.75,3.4966666666666666,4.910765950666172,-2.38,9.64,30.090000000000003,73.33726110693435,-39.55,131.47,-18.166666666666668,41.80233672362773,-75.93,21.61,,,,,,,,,,,,,stand,4.231,6.231
0.04666666666666667,0.10530379332620876,-0.06,0.19,-0.62,0.14514360704718163,-0.76,-0.42,0.73,0.058878405775518984,0.65,0.79,0.14000000000000057,9.279119929533547,-12.45,9.64,48.910000000000004,69.94315596730439,-39.55,131.47,-36.68333333333334,42.03644873466623,-75.93,21.61,,,,,,,,,,,,,stand,5.231,7.231
-0.06,0.0,-0.06,-0.06,-0.42,0.0,-0.42,-0.42,0.79,0.0,0.79,0.79,-12.45,0.0,-12.45,-12.45,54.81,0.0,54.81,54.81,-55.73,0.0,-55.73,-55.73,,,,,,,,,,,,,stand,6.231,8.231
-0.18,0.0,-0.18,-0.18,-0.47,0.0,-0.47,-0.47,0.89,0.0,0.89,0.89,2.56,0.0,2.56,2.56,-17.27,0.0,-17.27,-17.27,24.6,0.0,24.6,24.6,,,,,,,,,,,,,stand,7.231,9.231
-0.14,0.039999999999999994,-0.18,-0.1,-0.45999999999999996,0.009999999999999981,-0.47,-0.45,0.905,0.015000000000000013,0.89,0.92,-4.795,7.355,-12.15,2.56,-12.295,4.975,-17.27,-7.32,9.035,15.565000000000001,-6.53,24.6,,,,,,,,,,,,,stand,8.231,10.231
-0.10500000000000001,0.0049999999999999975,-0.11,-0.1,-0.475,0.024999999999999994,-0.5,-0.45,0.9299999999999999,0.009999999999999953,0.92,0.94,-5.495,6.655,-12.15,1.16,3.1449999999999996,10.465,-7.32,13.61,1.2499999999999996,7.779999999999999,-6.53,9.03,,,,,,,,,,,,,stand,9.231,11.231
-0.11499999999999999,0.0049999999999999975,-0.12,-0.11,-0.48,0.01999999999999999,-0.5,-0.46,0.8999999999999999,0.03999999999999998,0.86,0.94,-2.0749999999999997,3.2349999999999994,-5.31,1.16,5.83,7.78,-1.95,13.61,2.6549999999999994,6.375,-3.72,9.03,,,,,,,,,,,,,stand,10.231,12.231
-0.175,0.05500000000000001,-0.23,-0.12,-0.42500000000000004,0.035,-0.46,-0.39,0.855,0.0050000000000000044,0.85,0.86,-10.47,5.16,-15.63,-5.31,-4.3,2.35,-6.65,-1.95,-5.6450000000000005,1.925,-7.57,-3.72,,,,,,,,,,,,,stand,11.231,13.231
-0.115,0.115,-0.23,-0.0,-0.525,0.135,-0.66,-0.39,0.8200000000000001,0.02999999999999997,0.79,0.85,-28.75,13.12,-41.87,-15.63,-8.575,1.9249999999999998,-10.5,-6.65,2.625,10.195,-7.57,12.82,,,,,,,,,,,,,stand,12.231,14.231
0.115,0.115,-0.0,0.23,-0.67,0.010000000000000009,-0.68,-0.66,0.825,0.034999999999999976,0.79,0.86,7.690000000000001,49.56,-41.87,57.25,-5.035,5.465,-10.5,0.43,10.895,1.9249999999999998,8.97,12.82,,,,,,,,,,,,,stand,13.231,15.231
0.09,0.14,-0.05,0.23,-0.7150000000000001,0.034999999999999976,-0.75,-0.68,0.8,0.06,0.74,0.86,43.76,13.49,30.27,57.25,-15.625,16.055,-31.68,0.43,-23.955000000000002,32.925,-56.88,8.97,,,,,,,,,,,,,stand,14.231,16.231
-0.05,0.0,-0.05,-0.05,-0.75,0.0,-0.75,-0.75,0.74,0.0,0.74,0.74,30.27,0.0,30.27,30.27,-31.68,0.0,-31.68,-31.68,-56.88,0.0,-56.88,-56.88,,,,,,,,,,,,,stand,15.231,17.231
-0.07,0.0,-0.07,-0.07,-0.65,0.0,-0.65,-0.65,1.02,0.0,1.02,1.02,42.79,0.0,42.79,42.79,-3.97,0.0,-3.97,-3.97,15.01,0.0,15.01,15.01,,,,,,,,,,,,,stand,16.231,18.231
-0.05666666666666667,0.07408703590297624,-0.14,0.04,-0.5733333333333334,0.05792715732327589,-0.65,-0.51,0.9266666666666667,0.16110727964792768,0.7,1.06,13.450000000000001,75.6580852696304,-90.33,87.89,-4.436666666666665,34.80881337950044,-47.3,37.96,-19.71666666666667,36.34053873507595,-69.89,15.01,,,,,,,,,,,,,stand,17.231,19.231
-0.05,0.09,-0.14,0.04,-0.535,0.025000000000000022,-0.56,-0.51,0.88,0.18000000000000005,0.7,1.06,-1.2199999999999989,89.11,-90.33,87.89,-4.669999999999998,42.629999999999995,-47.3,37.96,-37.08,32.81,-69.89,-4.27,,,,,,,,,,,,,stand,18.231,20.231
-0.2,0.0,-0.2,-0.2,-0.78,0.0,-0.78,-0.78,0.77,0.0,0.77,0.77,-97.41,0.0,-97.41,-97.41,16.66,0.0,16.66,16.66,-46.63,0.0,-46.63,-46.63,,,,,,,,,,,,,stand,19.231,21.231
-0.25,0.04999999999999999,-0.3,-0.2,-0.825,0.04499999999999999,-0.87,-0.78,0.6,0.17,0.43,0.77,-51.665,45.745,-97.41,-5.92,7.87,8.79,-0.92,16.66,-21.085,25.545,-46.63,4.46,,,,,,,,,,,,,stand,20.231,22.231
-0.29000000000000004,0.009999999999999981,-0.3,-0.28,-0.885,0.015000000000000013,-0.9,-0.87,0.405,0.024999999999999994,0.38,0.43,-4.18,1.74,-5.92,-2.44,-1.865,0.945,-2.81,-0.92,3.8449999999999998,0.615,3.23,4.46,,,,,,,,,,,,,stand,21.231,23.231
-0.255,0.02500000000000001,-0.28,-0.23,-0.905,0.0050000000000000044,-0.91,-0.9,0.37,0.010000000000000009,0.36,0.38,-1.4649999999999999,0.975,-2.44,-0.49,-5.92,3.1099999999999994,-9.03,-2.81,3.2649999999999997,0.03499999999999992,3.23,3.3,,,,,,,,,,,,,stand,22.231,24.231
-0.245,0.015,-0.26,-0.23,-0.845,0.065,-0.91,-0.78,0.49,0.13,0.36,0.62,45.56,46.05,-0.49,91.61,1.4350000000000005,10.465,-9.03,11.9,-12.935,16.235,-29.17,3.3,,,,,,,,,,,,,stand,23.231,25.231
-0.2,0.06,-0.26,-0.14,-0.685,0.09500000000000003,-0.78,-0.59,0.75,0.13,0.62,0.88,38.57,53.04,-14.47,91.61,5.6450000000000005,6.255000000000001,-0.61,11.9,15.11,44.28,-29.17,59.39,,,,,,,,,,,,,stand,24.231,26.231
-0.195,0.05499999999999999,-0.25,-0.14,-0.74,0.15000000000000002,-0.89,-0.59,0.6799999999999999,0.2,0.48,0.88,-32.655,18.185000000000002,-50.84,-14.47,1.7100000000000002,2.3200000000000003,-0.61,4.03,30.67,28.720000000000002,1.95,59.39,,,,,,,,,,,,,stand,25.231,27.231
-0.135,0.11499999999999999,-0.25,-0.02,-0.95,0.06,-1.01,-0.89,0.25,0.22999999999999998,0.02,0.48,-26.915000000000003,23.925,-50.84,-2.99,2.015,2.015,0.0,4.03,1.3399999999999999,0.61,0.73,1.95,,,,,,,,,,,,,stand,26.231,28.231
-0.02,0.0,-0.02,-0.02,-1.01,0.0,-1.01,-1.01,0.02,0.0,0.02,0.02,-2.99,0.0,-2.99,-2.99,0.0,0.0,0.0,0.0,0.73,0.0,0.73,0.73,,,,,,,,,,,,,stand,27.231,29.231
-0.02,0.0,-0.02,-0.02,-1.02,0.0,-1.02,-1.02,0.02,0.0,0.02,0.02,-2.44,0.0,-2.44,-2.44,2.44,0.0,2.44,2.44,-2.5,0.0,-2.5,-2.5,,,,,,,,,,,,,stand,28.231,30.231
-0.01,0.01,-0.02,-0.0,-1.0150000000000001,0.0050000000000000044,-1.02,-1.01,0.0,0.02,-0.02,0.02,2.4400000000000004,4.88,-2.44,7.32,9.125,6.6850000000000005,2.44,15.81,-2.35,0.1499999999999999,-2.5,-2.2,,,,,,,,,,,,,stand,29.231,31.231
-0.035,0.035,-0.07,-0.0,-1.0150000000000001,0.0050000000000000044,-1.02,-1.01,0.045,0.065,-0.02,0.11,13.855,6.535,7.32,20.39,-27.799999999999997,43.61,-71.41,15.81,9.945,12.145,-2.2,22.09,,,,,,,,,,,,,stand,30.231,32.231
0.16999999999999998,0.24,-0.07,0.41,-1.195,0.17500000000000004,-1.37,-1.02,0.28500000000000003,0.17500000000000002,0.11,0.46,-54.26,74.65,-128.91,20.39,-95.61,24.200000000000003,-119.81,-71.41,131.1,109.01,22.09,240.11,,,,,,,,,,,,,stand,31.231,33.231
0.305,0.10499999999999998,0.2,0.41,-1.09,0.28,-1.37,-0.81,0.575,0.11499999999999996,0.46,0.69,-71.87,57.04,-128.91,-14.83,-77.515,42.295,-119.81,-35.22,118.405,121.705,-3.3,240.11,,,,,,,,,,,,,stand,32.231,34.231
0.065,0.135,-0.07,0.2,-0.8500000000000001,0.03999999999999998,-0.89,-0.81,0.58,0.10999999999999999,0.47,0.69,-10.285,4.545,-14.83,-5.74,-15.11,20.11,-35.22,5.0,-3.45,0.15000000000000013,-3.6,-3.3,,,,,,,,,,,,,stand,33.231,35.231
-0.060000000000000005,0.010000000000000002,-0.07,-0.05,-0.89,0.0,-0.89,-0.89,0.48,0.010000000000000009,0.47,0.49,-4.395,1.3450000000000002,-5.74,-3.05,-6.41,11.41,-17.82,5.0,-0.1200000000000001,3.48,-3.6,3.36,,,,,,,,,,,,,stand,34.231,36.231
0.0,0.05,-0.05,0.05,-0.895,0.0050000000000000044,-0.9,-0.89,0.475,0.014999999999999986,0.46,0.49,1.375,4.425,-3.05,5.8,-2.4699999999999998,15.350000000000001,-17.82,12.88,-3.0500000000000007,6.41,-9.46,3.36,,,,,,,,,,,,,stand,35.231,37.231
0.05,0.0,0.05,0.05,-0.9,0.0,-0.9,-0.9,0.46,0.0,0.46,0.46,5.8,0.0,5.8,5.8,12.88,0.0,12.88,12.88,-9.46,0.0,-9.46,-9.46,,,,,,,,,,,,,sit,36.231,38.231
-0.11,0.0,-0.11,-0.11,-0.92,0.0,-0.92,-0.92,0.45,0.0,0.45,0.45,-0.98,0.0,-0.98,-0.98,-1.04,0.0,-1.04,-1.04,-1.65,0.0,-1.65,-1.65,,,,,,,,,,,,,sit,37.231,39.231
-0.11666666666666665,0.004714045207910314,-0.12,-0.11,-0.91,0.008164965809277268,-0.92,-0.9,0.4566666666666667,0.004714045207910321,0.45,0.46,0.4266666666666666,1.8565978443258935,-0.98,3.05,-0.3666666666666667,0.7821480394116932,-1.04,0.73,-1.12,0.44996296143867953,-1.65,-0.55,,,,,,,,,,,,,sit,38.231,40.231
-0.12,0.0,-0.12,-0.12,-0.905,0.0050000000000000044,-0.91,-0.9,0.46,0.0,0.46,0.46,1.13,1.92,-0.79,3.05,-0.030000000000000027,0.76,-0.79,0.73,-0.855,0.30499999999999994,-1.16,-0.55,,,,,,,,,,,,,sit,39.231,41.231
-0.1,0.0,-0.1,-0.1,-0.91,0.0,-0.91,-0.91,0.47,0.0,0.47,0.47,-4.15,0.0,-4.15,-4.15,-4.64,0.0,-4.64,-4.64,-2.38,0.0,-2.38,-2.38,,,,,,,,,,,,,stand,40.231,42.231
-0.1,0.0,-0.1,-0.1,-0.91,0.0,-0.91,-0.91,0.45499999999999996,0.014999999999999986,0.44,0.47,-2.6550000000000002,1.4950000000000003,-4.15,-1.16,-1.8949999999999998,2.7449999999999997,-4.64,0.85,-0.73,1.65,-2.38,0.92,,,,,,,,,,,,,stand,41.231,43.231
-0.085,0.015,-0.1,-0.07,-0.92,0.010000000000000009,-0.93,-0.91,0.425,0.015000000000000013,0.41,0.44,-1.71,0.5499999999999999,-2.26,-1.16,-0.95,1.8,-2.75,0.85,1.345,0.425,0.92,1.77,,,,,,,,,,,,,stand,42.231,44.231
-0.085,0.015,-0.1,-0.07,-0.91,0.020000000000000018,-0.93,-0.89,0.4,0.009999999999999981,0.39,0.41,6.07,8.33,-2.26,14.4,6.225,8.975,-2.75,15.2,-3.0199999999999996,4.789999999999999,-7.81,1.77,,,,,,,,,,,,,stand,43.231,45.231
-0.08,0.020000000000000004,-0.1,-0.06,-0.905,0.015000000000000013,-0.92,-0.89,0.405,0.014999999999999986,0.39,0.42,6.16,8.24,-2.08,14.4,7.324999999999999,7.874999999999999,-0.55,15.2,-2.745,5.0649999999999995,-7.81,2.32,,,,,,,,,,,,,stand,44.231,46.231
