Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
56170,0.01,-0.95,0.40,-16.05,-56.46,16.66,,,
56763,-0.04,-0.96,0.19,-11.84,-49.68,45.96,,,
57357,-0.13,-0.88,0.33,5.19,-9.03,-23.38,,,
57949,0.03,-0.98,0.37,-15.44,-19.41,13.31,,,
58542,0.05,-0.97,0.32,-4.82,-0.49,0.85,,,
59135,0.07,-0.97,0.37,-1.04,3.48,-4.64,,,
59779,0.07,-0.93,0.39,-0.79,-1.53,1.77,,,
60372,0.05,-0.94,0.38,0.79,7.63,4.09,,,
60963,0.03,-0.95,0.37,-1.95,-1.46,-0.18,,,
61555,0.04,-0.96,0.36,-2.93,6.16,-2.62,,,
62147,0.05,-0.96,0.34,1.28,-6.29,1.40,,,
62739,0.04,-0.95,0.36,-0.61,-0.98,-0.31,,,
63332,0.04,-0.96,0.34,1.95,-3.54,0.12,,,
63924,0.03,-0.95,0.35,-1.04,-0.31,-0.73,,,
64517,0.03,-0.95,0.35,1.71,-3.36,-0.98,,,
65109,0.03,-0.95,0.37,-2.01,-0.12,-0.24,,,
65701,0.04,-0.95,0.35,-0.92,0.12,0.00,,,
66293,0.03,-0.95,0.36,-0.73,-0.18,0.06,,,
66936,0.04,-0.95,0.36,-0.61,-0.79,-0.24,,,
67529,0.04,-0.95,0.36,0.61,-0.98,0.18,,,
68121,0.04,-0.95,0.35,1.10,0.00,-0.06,,,
68713,0.04,-0.95,0.36,-0.49,-0.43,-0.12,,,
69305,0.04,-0.95,0.35,1.89,-1.59,-0.06,,,
69896,0.04,-0.95,0.36,-0.18,-0.06,-0.37,,,
70490,0.07,-0.98,0.37,0.06,-8.36,-4.82,,,
71082,0.05,-0.96,0.35,-1.28,-1.04,-1.28,,,
71675,0.07,-0.96,0.33,-2.38,1.59,-1.16,,,
72266,0.06,-0.98,0.25,-1.34,-2.26,0.24,,,
72859,0.02,-0.98,0.20,-8.48,16.66,-5.25,,,
73461,0.09,-0.98,0.25,2.32,23.38,-9.70,,,
74095,0.07,-0.97,0.27,0.00,-0.49,-0.43,,,
74688,0.06,-0.98,0.27,0.31,0.98,-0.06,,,
75279,0.06,-0.98,0.28,-0.85,0.67,0.18,,,
75872,0.05,-0.97,0.27,1.10,2.26,0.73,,,
76463,0.05,-0.97,0.27,-1.71,0.79,-0.31,,,
77055,0.05,-0.97,0.27,0.67,-0.79,0.43,,,
77648,0.09,-0.97,0.25,-9.95,-47.12,9.22,,,
78240,0.08,-1.01,0.18,-8.06,-39.55,0.37,,,
78833,0.09,-0.97,0.13,24.29,-60.30,23.25,,,
79425,0.09,-0.94,0.38,-12.51,-1.53,1.59,,,
80017,0.06,-0.97,0.31,-4.39,-6.53,4.70,,,
80618,-0.00,-0.96,0.37,3.48,-2.62,0.24,,,
81253,-0.00,-0.96,0.35,-1.22,-1.89,-2.08,,,
81847,-0.01,-0.95,0.32,1.40,6.53,-5.31,,,
82438,0.01,-0.95,0.34,1.53,-1.22,0.43,,,
83031,-0.00,-0.96,0.35,-0.06,0.79,1.71,,,
83623,-0.00,-0.96,0.34,0.92,-1.10,-0.06,,,
84215,-0.00,-0.96,0.33,-1.04,-0.12,0.18,,,
84808,0.00,-0.96,0.34,-2.08,-1.59,-0.67,,,
85401,0.01,-0.96,0.30,0.06,0.67,-3.05,,,
85994,0.01,-0.97,0.30,-2.14,0.61,-0.55,,,
86586,0.01,-0.97,0.29,0.06,-0.61,-0.37,,,
87178,-0.12,-0.89,0.24,4.27,174.68,-43.88,,,
87779,0.03,-0.98,0.34,4.52,0.73,-1.10,,,
88415,0.00,-0.96,0.34,0.49,-9.58,2.69,,,
89007,0.00,-0.96,0.35,-1.46,0.18,-0.18,,,
89599,0.00,-0.96,0.34,0.12,0.73,0.00,,,
90192,0.01,-0.96,0.32,-0.92,0.61,-1.40,,,
90783,0.03,-0.97,0.32,-0.43,-0.55,-0.12,,,
91376,0.03,-0.95,0.35,3.60,-5.43,0.12,,,
91968,0.03,-0.94,0.36,-0.18,0.37,-0.61,,,
92560,0.02,-0.94,0.41,4.52,-9.16,6.23,,,
93153,0.01,-0.93,0.37,0.92,-4.70,1.16,,,
93745,0.01,-0.94,0.38,1.16,-0.12,15.50,,,
94346,-0.01,-0.91,0.43,3.54,-1.59,-3.60,,,
94938,-0.07,-1.01,0.49,-39.92,-2.62,30.15,,,
95574,0.08,-0.97,0.28,-5.98,-62.62,-16.66,,,
96167,0.02,-0.89,0.32,-31.49,51.03,-24.23,,,
96760,0.15,-0.75,0.81,47.97,-39.73,62.99,,,
97354,0.07,-0.73,0.68,-4.21,-5.62,4.46,,,
97946,0.09,-0.68,0.73,55.30,-18.25,36.87,,,
98539,-0.21,-0.67,0.86,1.34,16.78,42.79,,,
99132,0.08,-0.71,0.77,19.04,-7.81,-10.38,,,
99724,0.08,-0.57,0.97,9.70,-4.64,11.29,,,
100317,0.20,-0.59,0.79,-55.66,12.82,-43.15,,,
100919,0.56,-0.54,0.64,12.39,-6.41,-23.32,,,
101512,0.67,-0.30,0.70,-2.08,-3.85,-12.39,,,
102105,0.71,-0.34,0.65,-8.85,-9.09,5.13,,,
102740,0.59,-0.72,0.47,-27.04,-30.46,57.86,,,
103334,0.30,-0.85,0.44,15.26,-50.48,31.25,,,
103927,0.25,-0.84,0.48,1.28,-33.33,12.33,,,
104520,0.19,-0.93,0.45,4.27,-4.94,-1.22,,,
105113,0.19,-0.94,0.36,-1.04,-10.31,4.64,,,
105705,0.25,-0.97,0.36,-2.14,-18.43,-5.55,,,
106298,0.20,-0.94,0.32,3.23,-1.04,-1.71,,,
106890,0.21,-0.94,0.34,-1.77,5.55,3.30,,,
107483,0.23,-0.96,0.29,2.38,49.44,-15.44,,,
108084,0.05,-0.68,0.71,30.09,61.77,-38.39,,,
108678,-0.03,-0.63,0.78,36.93,19.23,-30.52,,,
109271,-0.06,-0.54,0.88,29.72,55.54,-115.54,,,
109907,-0.13,-0.75,1.21,175.84,26.18,-52.55,,,
110501,-0.28,-0.76,1.25,-86.98,-49.32,-17.27,,,
111094,0.06,-0.69,0.33,-31.80,-114.50,220.70,,,
111688,0.06,-0.36,0.87,69.52,-5.68,85.27,,,
112281,0.05,-0.59,0.92,11.90,31.37,22.64,,,
112873,0.37,-0.47,0.74,-2.32,-66.28,67.87,,,
113466,0.15,-0.73,0.66,5.49,7.51,-18.07,,,
114067,0.18,-0.65,0.87,36.13,-14.22,36.13,,,
114660,-0.02,-0.47,0.78,-0.73,48.77,-63.17,,,
115253,0.12,-0.52,0.87,-2.50,-16.05,26.86,,,
115846,0.07,-0.55,0.81,-0.98,16.54,-35.71,,,
116439,0.06,-0.73,0.64,0.31,1.28,-7.02,,,
117073,0.04,-0.69,0.75,-4.64,3.05,4.82,,,
117666,0.12,-0.82,0.65,4.76,8.48,3.05,,,
118257,0.01,-0.80,0.65,5.37,11.96,-19.71,,,
118851,0.17,-0.74,0.75,-43.88,-87.28,-59.63,,,
119444,-0.08,-0.92,0.14,-57.80,-71.47,-9.40,,,
120037,0.00,-0.90,0.45,-25.63,-17.64,24.96,,,
120639,-0.26,-0.83,0.24,-19.71,-6.35,38.64,,,
121232,-0.04,-0.94,0.24,-25.39,20.45,2.20,,,
121825,-0.02,-1.02,0.07,-12.88,5.00,6.90,,,
122418,0.08,-1.18,0.09,-8.67,-10.80,3.11,,,
123011,0.11,-1.14,0.18,23.38,-5.62,-0.79,,,
123604,-0.11,-0.93,0.22,3.17,-7.26,9.58,,,
124240,-0.03,-0.90,0.25,-10.68,1.83,2.75,,,
124833,-0.01,-0.91,0.52,23.99,14.59,-50.29,,,
125426,-0.04,-0.73,0.65,1.89,-4.58,-10.31,,,
126019,0.03,-0.84,0.61,8.67,-12.21,-3.48,,,
126612,0.05,-0.85,0.52,-37.11,21.30,-21.67,,,
127214,0.11,-0.93,0.40,-5.86,12.82,2.08,,,
127806,0.10,-0.93,0.38,-2.01,2.75,0.00,,,
128398,0.10,-0.94,0.38,-1.53,0.12,0.67,,,
128991,0.11,-0.94,0.39,0.92,0.12,-1.77,,,
129583,0.14,-0.82,0.57,15.50,47.18,-49.80,,,
130176,0.01,-0.51,0.76,17.33,-23.07,49.50,,,
130769,-0.04,-0.53,0.84,-15.44,-23.44,-63.29,,,
131405,0.18,-0.53,0.80,-131.10,-14.34,81.91,,,
131998,0.15,-0.65,1.17,59.02,46.08,-46.20,,,
132590,0.05,-0.69,0.73,-7.51,70.31,-77.94,,,
133184,0.26,-0.52,0.88,8.54,-65.55,64.03,,,
133785,0.32,-0.61,0.69,1.83,13.92,-74.83,,,
134378,0.32,-0.71,0.72,0.61,-3.97,10.07,,,
134971,0.18,-0.63,0.81,15.87,90.45,-54.26,,,
135563,-0.07,-0.56,0.84,1.04,29.36,-72.51,,,
136157,0.10,-0.63,0.87,67.02,42.18,-64.94,,,
136750,-0.01,-0.67,0.92,35.40,52.80,-33.81,,,
137343,0.00,-0.62,0.65,-12.63,-73.85,62.01,,,
137936,0.05,-0.51,0.84,6.47,-27.10,-49.19,,,
138572,0.03,-0.75,0.72,-56.27,-66.96,144.84,,,
139165,-0.02,-0.70,0.73,-0.85,7.20,-55.48,,,
139758,-0.05,-0.63,0.71,-21.85,30.27,28.08,,,
140361,-0.30,-0.73,0.72,-25.27,117.68,-75.93,,,
140954,-0.20,-0.92,0.33,-2.69,-0.85,1.89,,,
141547,-0.24,-0.94,0.23,-5.31,-16.60,2.08,,,
142140,0.19,-0.90,0.95,47.67,-277.65,120.00,,,
142733,-0.08,-0.74,0.72,-22.83,29.30,-106.57,,,
143327,-0.15,-0.70,0.98,117.00,-5.86,17.58,,,
143920,0.03,-0.76,0.92,-13.37,-47.36,28.50,,,
144513,-0.20,-0.76,0.72,-20.32,28.56,-21.30,,,
145106,-0.28,-0.90,0.31,-9.83,-11.41,2.87,,,
145742,-0.21,-0.81,0.53,80.38,-44.43,-7.20,,,
146335,-0.10,-0.60,0.93,17.52,-34.30,57.01,,,
146937,0.11,-0.65,0.74,74.95,-108.40,33.14,,,
147531,0.09,-0.45,0.96,-15.01,18.43,61.22,,,
148124,-0.34,-0.54,1.27,-29.85,-50.54,11.96,,,
148718,0.09,-0.70,0.13,-122.68,-116.39,93.99,,,
149311,0.08,0.02,0.50,205.69,37.72,-41.81,,,
149905,0.10,-0.67,0.60,67.93,-6.71,-85.33,,,
150498,0.02,0.36,0.64,-113.46,-13.67,91.49,,,
151091,-0.04,-0.52,0.59,-123.66,-11.23,30.15,,,
151685,0.11,-0.81,1.45,266.97,36.68,-60.79,,,
152278,0.25,-0.49,0.88,96.25,0.61,-30.82,,,
152923,-0.14,-0.88,1.18,208.74,144.41,-105.04,,,
153517,0.15,-0.50,0.68,63.17,137.63,53.04,,,
154110,0.35,-0.22,1.38,-245.85,55.73,-172.24,,,
154704,0.03,-0.94,2.12,385.74,41.08,-50.54,,,
155297,-0.12,-0.78,0.55,-93.38,102.84,-82.21,,,
155891,0.04,-1.12,0.25,-137.15,94.06,-24.11,,,
156484,0.00,-1.01,-0.19,-13.43,-5.13,4.03,,,
157077,0.08,-0.95,-0.29,0.31,-1.28,2.62,,,
157669,0.09,-0.91,-0.37,-3.36,8.91,-0.55,,,
158261,0.13,-0.90,-0.38,-2.26,-0.24,-0.92,,,
158855,0.11,-0.90,-0.38,5.98,-5.07,2.81,,,
159456,0.15,-0.91,-0.35,-0.55,-0.73,1.59,,,
160093,0.11,-0.93,-0.31,-1.95,0.43,0.55,,,
160685,0.12,-0.92,-0.32,-0.61,-1.22,-0.24,,,
161278,0.13,-0.94,-0.34,5.74,-3.36,-3.05,,,
161872,0.05,-0.98,0.05,15.08,-23.13,-3.30,,,
162464,0.07,-0.99,0.10,-8.00,8.54,-0.98,,,
163058,0.09,-1.01,0.04,2.14,-1.10,2.26,,,
163650,0.08,-0.99,0.07,-1.89,-0.67,-3.42,,,
164243,0.10,-1.00,0.09,4.09,-1.46,1.53,,,
164835,0.09,-1.00,0.06,-2.99,0.18,1.28,,,
165427,0.08,-1.00,0.05,2.26,-3.54,-0.43,,,
166029,0.16,-1.01,0.08,8.85,-30.27,11.35,,,
166665,0.00,-0.97,0.04,-15.87,-38.82,12.39,,,
167258,-0.06,-1.01,0.04,-1.10,-0.24,-3.91,,,
167851,-0.07,-1.01,0.03,-0.61,-3.23,0.73,,,
168443,-0.06,-1.01,0.05,2.26,-1.04,0.24,,,
169036,0.01,-1.01,0.04,-7.02,51.51,-12.76,,,
169629,0.06,-1.02,0.01,-1.95,3.42,-9.22,,,
170222,0.06,-1.01,-0.03,-2.20,0.98,-1.04,,,
170814,0.05,-1.00,-0.03,1.28,0.61,-0.79,,,
171407,0.05,-1.00,-0.03,-0.98,-1.34,-0.06,,,
172000,0.06,-1.00,-0.01,1.10,0.85,-0.73,,,
172592,0.06,-1.00,-0.01,-0.43,1.04,-2.20,,,
173194,0.06,-1.00,-0.02,-0.79,1.89,-1.04,,,
173830,0.04,-1.01,-0.01,1.59,0.43,1.22,,,
174423,0.06,-0.98,-0.11,-26.55,28.56,7.14,,,
175016,0.03,-0.99,-0.15,-13.85,19.78,-6.65,,,
175609,-0.01,-0.96,-0.23,7.02,-8.12,9.64,,,
176203,-0.37,-1.10,-0.07,-33.14,42.85,-1.34,,,
176796,-0.33,-0.99,-0.13,28.63,-26.86,7.39,,,
177390,-0.23,-0.90,-0.07,42.79,6.41,-7.14,,,
177983,0.18,-1.02,0.14,62.99,96.62,-46.14,,,
178577,-0.11,-1.05,0.29,-9.16,2.87,-13.92,,,
179169,-0.16,-0.88,0.61,88.99,-64.88,21.42,,,
179771,-0.09,-0.52,0.68,-19.59,-75.68,99.67,,,
180365,-0.01,-0.52,0.89,22.95,-24.96,49.93,,,
181001,-0.07,-0.59,0.88,-22.77,-9.52,101.07,,,
181595,0.05,-0.38,0.89,-40.53,21.97,-31.98,,,
182188,-0.26,-0.90,0.88,127.69,12.08,81.67,,,
182781,-0.16,-0.78,0.80,-5.62,-33.20,8.42,,,
183374,-0.22,-0.68,0.74,2.32,23.68,-16.54,,,
183967,-0.20,-0.70,0.67,32.41,-59.94,-3.72,,,
184561,-0.20,-0.80,1.13,105.53,-22.71,24.35,,,
185153,0.16,-0.70,0.81,-2.50,-126.40,41.08,,,
185756,0.23,-0.71,0.67,-14.95,37.41,-18.37,,,
186349,-0.02,-0.59,0.91,5.86,31.19,-12.02,,,
186942,-0.04,-0.52,0.85,71.84,34.91,-61.52,,,
187536,-0.08,-0.52,0.86,-6.35,14.10,41.75,,,
188171,-0.10,-0.65,0.97,39.25,12.33,18.19,,,
188765,0.10,-0.73,0.59,-18.49,-27.16,-3.54,,,
189358,0.09,-0.69,0.69,29.91,-13.85,13.49,,,
189950,-0.10,-0.54,0.84,23.19,30.64,-18.01,,,
190543,0.05,-0.51,0.95,52.37,10.74,-7.14,,,
191136,-0.08,-0.68,0.66,-26.55,-1.28,2.81,,,
191729,0.04,-0.70,0.70,44.68,-0.67,-5.74,,,
192331,-0.10,-0.50,1.02,0.43,38.88,-38.09,,,
192924,-0.17,-0.43,0.95,13.98,-23.44,16.78,,,
