Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
628,-1.55,-10.03,-0.69,-0.13,-0.61,0.89,-76.98,55.09,-47.38
1698,-2.95,-12.09,-1.30,2.97,-0.28,-1.34,-72.00,56.78,-62.53
2769,-0.46,-9.02,-0.00,1.31,-0.51,-2.10,-83.02,53.57,-28.91
3840,-0.79,-9.39,0.81,-0.05,1.54,0.32,-84.95,48.48,-51.13
4910,-0.85,-8.90,1.65,0.01,0.00,0.26,-85.84,55.28,-29.95
5981,-2.24,-12.27,0.73,-1.05,-1.86,-0.66,-52.95,46.01,-1.24
7052,-0.36,-7.51,3.96,0.28,-0.42,0.48,-59.32,61.56,-9.72
8123,-1.41,-9.95,3.74,0.89,-0.16,0.02,-56.97,59.31,-7.34
9196,-0.13,-9.34,5.58,-0.11,1.24,-1.04,-71.94,61.98,-16.65
10267,1.11,-4.49,8.60,0.15,-0.08,-0.43,-58.65,75.90,-31.96
11381,1.67,-5.13,8.64,-0.00,0.04,-0.18,-52.75,75.40,-32.53
12451,1.60,-6.17,7.86,-0.19,-0.15,0.14,-64.35,72.33,-24.54
13522,1.39,-6.24,7.92,-0.05,0.22,-0.41,-33.54,67.28,-31.64
14593,-1.50,-3.93,10.60,-0.07,0.01,-0.77,-45.21,73.91,-39.61
15664,-1.52,-7.97,2.29,-1.17,0.86,0.25,-30.53,53.43,-14.41
16735,-1.95,-8.43,5.13,0.59,-1.21,0.63,-20.58,50.56,-27.33
17805,0.87,-10.78,3.39,-0.29,-0.15,-0.30,-18.27,44.55,-38.28
18879,-0.99,-10.07,1.84,-0.38,-0.24,-0.05,-18.42,39.81,-36.36
19950,-0.01,-11.18,1.45,0.36,-0.20,1.48,-18.94,39.59,-39.54
21021,-1.87,-8.28,1.02,-0.49,-1.18,0.01,-19.23,38.76,-42.88
22134,0.64,-9.78,-0.61,0.50,-0.43,-0.01,-35.50,47.31,-65.40
23205,0.03,-9.43,4.19,-0.44,0.66,-0.09,-21.53,39.59,-50.39
24276,-0.70,-9.76,0.86,-0.52,0.21,0.58,-28.65,43.64,-16.08
25347,-0.00,-9.57,1.43,0.51,2.12,-0.31,-41.44,46.74,-6.91
26418,0.31,-9.46,0.57,-0.48,1.56,-0.15,-85.72,46.54,-24.00
27491,-0.38,-10.99,1.21,0.50,-0.01,-1.16,-89.86,48.52,-45.19
28562,1.30,-9.20,3.31,-0.16,0.22,0.12,-61.27,34.16,-76.45
29633,-0.23,-8.85,2.51,-0.22,-0.65,0.06,-31.82,41.68,-66.92
30703,-1.31,-8.88,-4.22,-1.23,0.56,1.11,-22.11,34.52,-24.36
31774,-1.03,-7.35,-2.49,1.45,-0.14,0.72,-24.35,43.36,-54.37
32845,-1.03,-9.20,-0.66,0.71,0.02,0.47,-32.87,41.38,-64.12
33959,0.29,-8.80,0.06,-0.74,1.30,0.52,-58.08,46.76,-68.42
35030,-0.78,-10.16,-0.86,-0.05,-2.84,-0.17,-67.39,48.73,-62.64
36104,-3.67,-7.46,2.15,-0.08,-3.38,1.50,-71.38,55.89,-23.05
37175,-1.10,-8.82,4.42,0.39,0.45,-0.11,-40.49,53.67,-13.64
38245,-0.28,-9.06,3.78,-1.18,1.59,0.10,-70.89,62.20,-15.51
39316,-1.30,-9.03,3.91,-0.11,-0.00,0.11,-67.83,62.16,-12.72
40387,4.30,-12.23,2.69,-0.75,-1.72,-0.42,-28.00,43.29,-15.21
41458,-0.47,-9.76,1.70,0.02,0.04,-0.02,-41.89,48.30,-8.11
42528,-0.42,-9.67,1.92,0.02,0.05,-0.01,-45.22,49.20,-7.47
43599,-0.45,-9.69,1.95,-0.02,0.05,-0.00,-44.90,49.27,-7.45
44713,-0.38,-9.86,2.06,0.05,0.02,-0.00,-44.46,49.27,-7.12
45786,-0.25,-10.03,1.66,-0.44,0.09,-0.05,-44.75,48.13,-7.22
46857,0.28,-9.39,-0.29,0.96,1.26,-0.65,-55.77,44.07,-3.80
47928,0.42,-8.94,3.11,0.32,-0.37,0.18,-48.04,54.63,-10.27
48999,-0.35,-11.90,-0.03,0.48,0.54,-0.47,-21.06,39.01,-24.98
50070,-0.35,-11.49,-0.21,-0.10,0.55,-0.06,-20.71,39.99,-27.00
51140,0.05,-10.98,0.51,0.23,0.50,-0.24,-21.37,41.58,-33.38
