Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
76018,-1.03,-9.81,-0.13,0.08,0.01,0.14,-84.92,54.27,-30.30
77091,0.47,-9.62,1.00,-0.07,0.19,-0.05,-85.81,44.88,-50.82
78164,-1.77,-9.87,-0.41,-0.14,1.40,0.27,-84.46,52.34,-25.59
79237,-1.60,-9.09,-1.69,0.75,0.52,0.34,-81.92,54.93,-27.65
80310,-1.35,-9.88,0.59,0.09,-0.01,-0.07,-83.28,55.25,-27.38
81384,-0.86,-9.33,0.82,-1.34,2.25,0.85,-79.11,51.81,-18.68
82459,-5.07,-7.52,-0.56,7.01,-1.14,-1.22,-83.86,57.80,-35.41
83532,-2.19,-8.75,-2.36,1.23,-0.29,-0.72,-79.51,55.32,-22.26
84605,-1.90,-8.97,-4.49,1.92,4.53,1.68,-75.12,59.60,-20.80
85678,-0.23,-9.55,-2.37,-0.09,0.00,0.24,-87.62,51.11,-31.09
86795,-0.71,-9.23,-1.42,-0.91,-1.33,0.11,-83.22,52.06,-19.86
87868,-0.97,-10.08,-0.91,-0.18,0.56,0.66,-85.78,51.89,-26.98
88941,-0.78,-8.49,1.29,0.14,-0.34,0.34,-83.59,53.07,-25.40
90014,-0.58,-10.92,-0.73,-1.49,0.64,1.95,-87.83,51.81,-37.50
91090,-1.09,-7.24,-1.67,0.46,-2.22,-2.03,-71.50,58.61,-16.11
92163,-0.42,-10.83,-1.15,0.07,-2.06,0.58,-39.89,44.18,-9.84
93236,0.81,-9.63,0.33,0.29,0.81,0.11,-32.21,49.28,-17.45
94309,-0.36,-9.50,2.05,-0.13,0.31,0.12,-23.24,48.47,-35.40
95382,-0.08,-9.48,2.17,0.04,1.94,-0.49,-24.55,49.28,-34.19
96455,-0.03,-9.41,2.08,0.01,-0.20,0.02,-51.99,53.92,-11.74
97528,-2.85,-11.03,-0.39,-0.79,-1.04,0.17,-65.55,48.61,-11.11
98644,0.17,-10.29,-0.27,-0.24,-1.08,0.22,-26.44,44.02,-25.23
99717,-2.15,-9.87,-0.83,0.44,0.59,0.46,-20.40,43.34,-44.86
100792,-1.29,-9.16,-0.86,1.22,-0.42,0.13,-36.52,44.02,-69.50
101865,-1.68,-9.48,0.74,0.01,-0.63,0.14,-41.45,38.38,-70.51
102938,-1.58,-9.84,0.99,-0.11,-0.00,-0.11,-60.60,42.66,-69.85
104011,-0.98,-11.02,-1.65,-0.72,1.03,3.02,-50.28,51.74,-69.10
105084,-1.71,-8.55,-1.51,-0.39,-0.75,-0.23,-62.34,54.21,-67.99
106158,-2.75,-9.93,-0.88,2.49,-1.63,-1.60,-89.29,37.65,-38.38
107231,-1.66,-9.75,-0.87,-0.07,0.97,-0.44,-90.60,49.44,-28.03
108304,-2.16,-9.82,0.70,0.34,0.42,0.11,-90.82,42.36,-53.30
109423,-0.92,-9.57,-0.51,-0.44,-1.11,0.09,-65.08,47.15,-67.98
110496,-1.07,-9.67,-0.89,-0.02,0.08,0.01,-63.50,48.67,-69.83
111569,-1.48,-9.59,-1.65,-0.01,-0.22,-0.03,-67.66,51.86,-66.14
112642,-1.43,-9.52,-2.86,0.63,0.00,0.49,-82.27,54.88,-11.37
113715,-1.88,-10.10,-0.72,-0.28,-0.16,-0.24,-77.84,59.05,-15.54
114788,-0.72,-9.06,-1.57,-0.52,0.28,0.03,-87.37,54.44,-29.95
115861,-2.52,-8.71,-3.96,0.10,0.12,-0.08,-81.86,56.74,-16.06
116934,-1.85,-9.04,-2.61,-0.38,-0.52,0.21,-84.54,57.26,-43.57
118010,-2.24,-9.88,-1.42,0.13,-0.54,0.04,-81.85,54.38,-57.89
119083,-2.27,-10.38,-0.35,0.41,0.01,-0.13,-85.95,54.97,-47.73
120198,-1.56,-9.73,0.16,0.30,0.43,-0.14,-80.46,49.87,-60.79
121271,-1.77,-9.81,-0.98,-0.03,0.63,-0.06,-68.88,49.28,-70.72
122345,-2.10,-9.70,-0.85,-0.18,-0.37,0.12,-61.53,42.08,-71.29
123418,-2.37,-9.55,0.46,0.29,-0.78,-0.09,-79.58,41.04,-63.02
124491,-0.86,-9.40,3.10,0.02,0.05,-0.00,-87.23,35.75,-53.76
125564,-1.06,-9.42,2.93,-0.01,0.05,0.00,-85.17,34.54,-56.85
126639,0.42,-9.82,4.45,0.45,-0.63,0.26,-75.29,25.30,-63.26
127712,0.77,-9.32,4.02,0.09,0.23,-0.00,-87.65,31.58,-52.94
128785,0.87,-8.80,4.42,-0.09,0.06,-0.02,-89.87,34.01,-49.20
129858,-0.22,-16.20,2.28,-1.32,3.05,-1.05,-29.13,43.66,-60.42
130931,-1.27,-9.80,0.37,0.01,-0.05,0.04,-25.20,41.01,-55.63
132048,-0.69,-9.64,2.26,0.15,-0.19,0.02,-26.00,38.16,-56.74
133121,-0.86,-9.69,2.43,0.03,-0.00,-0.07,-26.28,37.96,-57.92
134194,-0.95,-9.52,2.73,0.02,0.00,-0.00,-28.94,36.26,-60.67
135267,-0.99,-9.55,2.79,0.04,0.01,-0.01,-28.84,36.32,-61.49
136343,-0.99,-9.50,2.83,0.02,0.02,-0.01,-29.10,36.85,-61.41
137416,-1.04,-9.37,2.81,-0.03,-0.60,0.25,-31.64,35.72,-62.76
138489,-1.10,-9.47,2.92,-0.00,0.03,-0.01,-33.16,35.18,-65.26
139562,-0.91,-9.47,2.86,0.01,0.02,-0.02,-32.53,36.01,-63.80
140635,-1.02,-9.33,3.25,-0.06,-0.87,0.26,-42.58,34.14,-69.39
141708,-0.83,-9.31,3.35,-0.01,0.01,0.01,-48.32,34.33,-71.46
142823,-0.74,-9.34,3.39,0.02,-0.03,-0.02,-47.90,34.24,-71.19
143896,-0.63,-9.31,3.59,0.04,-0.01,-0.02,-48.76,33.54,-71.06
144972,0.23,-9.30,3.71,0.02,-0.25,0.00,-53.32,33.60,-71.29
146045,0.07,-9.35,3.48,0.04,0.03,-0.02,-50.91,34.45,-71.34
