Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
76941,-0.40,-8.74,4.82,0.03,0.04,-0.02,-43.73,56.43,-9.49
78012,-0.47,-8.64,4.88,-0.03,-0.04,0.01,-40.97,55.82,-10.82
79083,-0.48,-8.73,4.98,-0.04,0.07,0.00,-37.45,55.25,-12.28
80153,-0.59,-8.70,4.74,0.05,0.07,0.01,-38.63,55.07,-10.80
81224,0.82,-9.45,2.65,-0.09,0.71,-0.29,-58.13,50.85,-3.81
82298,-0.05,-9.38,1.24,-0.23,-0.20,0.17,-73.63,46.40,-8.93
83368,-1.07,-9.78,0.85,0.04,-0.02,-0.04,-45.89,44.02,-1.36
84439,-1.30,-9.53,-0.16,0.49,-0.36,-0.00,-39.46,39.81,-2.24
85510,-1.68,-9.40,2.89,0.47,-0.33,0.12,-32.86,45.89,-8.67
86581,2.26,-8.40,8.90,0.29,0.11,0.26,-35.43,60.22,-20.99
87694,1.14,-7.10,6.95,0.03,0.05,0.00,-34.00,59.82,-23.21
88765,0.90,-7.07,6.90,0.02,-0.20,0.44,-31.69,58.90,-24.60
89836,0.59,-7.24,7.06,0.21,-0.07,0.09,-30.97,58.37,-24.22
90906,0.91,-7.11,6.87,-0.03,-0.35,0.42,-24.28,53.67,-29.92
91980,0.37,-7.38,6.83,-0.07,0.12,-0.11,-28.41,56.46,-23.28
93051,0.44,-8.20,5.72,-0.00,0.04,-0.04,-40.40,58.23,-14.75
94121,0.54,-8.20,5.64,0.04,0.02,-0.01,-39.14,59.15,-15.10
95192,0.66,-8.46,5.36,0.00,0.04,-0.01,-38.42,58.05,-14.40
96263,0.65,-9.09,2.95,0.46,0.55,-0.46,-45.88,53.55,-6.87
97333,1.17,-8.72,4.50,0.03,1.67,-0.72,-69.28,56.69,-12.29
98446,-0.89,-8.94,4.20,-0.26,-0.77,0.43,-75.52,54.28,-15.83
99517,-1.16,-9.77,1.30,-0.73,-0.42,0.51,-34.73,42.33,-5.48
100590,0.72,-10.16,1.52,0.18,0.12,-0.05,-45.98,49.59,-3.24
101661,1.47,-4.73,8.21,0.88,0.57,-0.74,-83.95,50.37,-29.98
102732,-0.45,-6.77,6.71,-0.90,0.01,0.33,-86.01,48.19,-37.96
103803,-2.55,-8.54,4.95,0.01,-0.24,-0.09,-82.91,51.11,-43.06
104873,-1.25,-6.93,7.12,-0.08,0.15,-0.35,-83.19,52.70,-38.54
105944,-0.04,-5.77,8.27,0.36,-0.10,-0.09,-85.60,47.40,-39.62
107015,0.40,-5.16,8.64,0.07,-0.06,-0.02,-85.88,47.57,-39.07
108086,0.43,-4.67,8.90,0.12,-0.01,0.08,-85.33,47.75,-38.54
109156,5.03,-5.15,6.95,0.03,-0.08,-0.01,-60.68,64.76,-21.09
110273,4.24,-7.00,5.58,0.06,0.07,-0.03,-54.71,62.26,-15.14
111344,1.52,-9.23,0.79,0.43,-0.30,0.17,-48.01,50.32,-4.94
112415,2.69,-15.11,5.45,-2.27,1.75,1.15,-23.40,45.72,-25.11
113486,0.05,-9.85,1.86,0.18,0.22,0.01,-21.89,41.92,-25.08
114556,0.54,-8.79,2.66,-0.56,0.12,-0.22,-27.16,47.73,-19.58
115627,3.64,-10.94,0.17,-0.68,-1.35,0.46,-26.21,44.34,-17.66
116698,0.24,-9.62,-0.13,-0.24,-0.16,-0.30,-36.48,41.79,-7.82
